pubchem,rt
3913,618.3
3916,803.6
3949,857.1
3968,752.6
3970,654.8
3976,734.2
3994,631.0
3995,707.8
4006,1109.4
4008,1017.1
4022,0.3
4037,1049.4
4046,754.5
4060,793.9
4100,644.0
4101,85.9
4106,869.4
4107,650.0
4112,666.5
4117,646.4
4201,675.5
4216,672.7
4217,715.7
4236,710.3
4260,707.8
4273,808.8
4375,705.6
4381,80.2
4397,539.8
4410,709.1
4413,594.7
4418,837.8
4431,750.8
4436,619.1
4472,635.8
4477,1130.7
4486,610.3
4495,966.6
4496,869.3
4500,734.5
4515,765.8
4528,678.3
4553,981.5
4567,711.6
4578,654.1
4592,656.7
4608,818.5
4619,763.1
4622,652.4
4656,655.3
4657,574.1
4691,778.5
4698,1076.9
4705,770.6
4713,947.6
4731,820.8
4746,1059.5
4747,743.3
4761,580.3
4770,817.0
4780,94.6
4814,96.0
4823,653.8
4839,801.8
4843,121.7
4847,642.8
4850,431.7
4887,1176.2
4888,797.0
4910,919.6
4922,822.0
4977,1099.8
5011,93.5
5012,641.1
5034,1090.5
5063,926.2
5078,95.0
5083,766.6
5087,797.8
5092,794.5
5097,630.2
5105,617.6
5139,93.5
5153,86.7
5174,855.4
5184,640.1
5186,693.5
5190,818.6
5191,647.0
5265,725.3
5268,736.3
5270,580.2
5275,0.3
5291,640.0
5311,659.9
5323,680.4
5325,652.2
5326,674.9
5330,572.5
5374,92.6
5376,1011.9
5420,762.1
5457,707.3
5467,617.3
5478,626.1
5497,626.9
5503,914.0
5530,621.0
5537,765.0
5567,805.3
5568,884.6
5573,751.6
5593,619.1
5595,644.5
5597,620.6
5606,649.5
5615,627.0
5626,680.5
5639,637.1
5640,645.8
5662,679.1
5684,815.5
5685,767.4
5707,635.3
5714,668.2
5814,90.6
5902,816.7
5979,583.2
6077,741.1
6215,921.0
6603,613.6
6675,664.9
6769,934.9
7019,636.9
7077,761.9
7181,710.7
7510,91.7
7595,767.0
7683,679.5
8226,616.1
8367,645.5
8593,848.6
8646,116.3
8743,122.9
8974,590.1
9189,710.4
9330,713.9
9363,718.1
9417,692.0
9878,843.5
9955,92.1
10235,88.5
10242,567.1
10251,931.8
10374,703.8
10633,1048.2
10982,640.6
11061,765.3
12004,1000.3
12545,642.8
12555,749.5
12835,660.5
12852,595.1
12856,1010.4
13698,1089.4
13738,674.0
14957,1104.2
15387,685.3
16679,1117.3
16960,681.6
17142,675.3
17654,564.9
18069,1136.1
19337,648.1
20279,592.9
20415,707.4
21102,853.0
21109,577.7
21474,737.1
21551,763.9
21552,621.0
21564,595.6
21704,88.3
22301,89.8
23263,1218.6
23327,83.6
23418,623.1
23497,89.5
23498,605.2
23533,897.2
24352,772.0
24361,632.6
24370,842.0
24466,642.3
25051,89.5
25654,951.5
26070,578.4
26105,608.8
26133,1010.8
26532,653.3
26587,572.3
27211,874.7
27775,601.8
27812,1045.9
28061,677.2
28554,693.7
28718,841.3
28871,1143.8
28983,631.7
29758,85.9
30231,654.4
30386,94.5
30623,530.4
30668,621.7
30751,533.8
30768,806.9
30964,863.4
31315,755.0
31549,599.5
31553,684.9
32170,652.3
32224,818.5
33036,659.1
33309,666.3
33334,966.3
34698,779.6
35697,663.3
35758,665.0
35802,863.9
36339,774.1
37369,757.9
37459,817.2
37907,780.0
38508,639.9
38531,685.1
38778,658.8
39562,1049.1
39912,1043.0
40010,89.6
40604,635.7
40632,739.1
40854,657.8
40958,563.2
40976,991.1
42559,667.1
42640,631.4
43265,662.1
43345,689.3
44112,798.7
45952,912.6
46151,722.2
46428,805.3
47479,628.7
47521,621.3
49719,92.3
50248,1083.8
50287,615.7
50515,626.4
50942,606.1
51045,757.1
51106,638.9
51634,87.0
51712,89.9
51998,581.5
53389,711.6
54562,92.1
54766,687.5
54841,727.7
55750,634.4
55918,90.0
56032,667.2
56463,780.2
56959,682.8
57030,966.7
57242,95.1
57537,756.7
57697,645.8
58505,98.1
60511,730.3
60613,91.1
60703,825.4
60726,908.7
60769,747.3
60835,787.5
60840,846.3
60846,865.4
60860,442.4
60871,724.9
63015,591.3
63124,647.6
63430,617.7
64116,787.7
64692,667.1
64718,1016.6
64983,649.6
65071,918.3
65237,588.9
65275,110.3
65576,776.3
65599,672.0
65600,733.4
65628,747.1
65663,991.8
65709,720.4
65758,1045.0
65833,655.1
65863,973.5
65866,1006.6
65935,903.0
65944,562.1
65948,946.6
65998,776.9
66148,709.4
66490,1019.7
66642,781.6
66671,639.3
66672,651.5
67133,796.7
67238,1207.2
67274,1060.7
67275,1182.9
67277,1096.9
67473,673.8
68060,766.7
68281,604.0
68600,728.6
68602,689.1
68684,989.8
68770,627.6
68848,698.3
68861,796.4
68909,988.5
68939,1159.3
69448,923.0
69588,695.9
70551,683.7
70848,608.5
70875,1093.5
71157,697.0
71301,744.1
71321,909.3
71345,836.7
71353,806.8
71354,936.8
71360,719.9
71398,877.6
71407,624.5
71655,86.8
71750,638.8
71766,644.9
71771,957.1
71815,608.7
71827,707.4
71916,735.0
72124,671.8
72139,770.8
72198,581.1
72258,79.0
72315,681.1
72331,612.0
72430,773.4
72462,719.3
72512,657.7
72571,1288.3
72610,91.6
72616,672.1
72747,633.6
72816,1207.8
72826,811.7
72828,89.3
72972,822.6
73249,614.9
73333,766.1
73393,639.2
73395,652.3
73537,90.1
73550,803.8
73582,832.6
73677,840.0
73684,812.0
75870,751.8
75896,83.9
76448,1074.9
76819,636.8
77123,663.3
77258,644.4
77623,722.1
77917,637.3
77993,603.9
77999,627.5
78443,1129.2
79496,662.2
80412,635.4
80458,623.0
80525,795.4
81109,796.7
81146,903.4
81353,873.7
81409,745.8
81423,124.0
82148,696.5
82693,740.3
82980,856.1
84169,100.2
84566,626.0
85070,632.5
85564,648.8
87371,750.0
88499,647.9
88707,701.3
89105,650.5
90261,609.0
91518,750.4
91536,720.0
91769,665.3
92122,620.2
92337,974.4
92368,87.5
92409,782.7
92722,822.4
93004,559.0
94312,932.6
94525,900.4
94713,711.8
94821,664.6
95000,780.2
95108,719.3
95139,609.0
95263,662.6
95627,697.7
95692,86.9
95755,1127.4
95778,619.1
95801,908.3
96074,765.1
96212,86.4
96265,743.9
96612,707.9
96827,616.1
97016,91.8
97214,905.8
97267,86.2
97333,553.4
97545,84.5
98134,69.7
98152,612.5
98551,777.0
98642,665.8
98701,614.8
98760,624.6
99212,607.0
99562,628.6
100053,82.9
100146,676.9
100411,551.2
100475,686.4
100514,626.4
100517,662.2
100520,842.7
100580,1049.1
100805,683.6
101259,556.6
101379,763.1
101718,732.4
101781,617.4
101859,659.8
104741,1251.8
104766,91.9
104865,939.1
104956,784.9
104999,702.4
105078,690.9
107700,627.5
107704,703.8
107706,960.9
107751,1075.2
107780,812.1
107838,703.1
107970,965.9
107992,613.7
108029,648.3
108059,1155.1
108094,580.7
108137,654.7
108182,614.9
108937,720.1
109265,1133.0
110634,715.1
110737,77.3
111213,1054.4
114811,723.1
115348,760.4
115355,1067.5
115368,775.3
119031,619.8
119040,583.6
119081,610.4
119182,599.6
119259,92.7
119303,583.7
119369,712.5
119376,680.3
119558,88.0
119570,86.8
119584,713.5
119607,869.3
121578,112.3
121891,914.7
121930,633.2
122077,1127.4
122162,875.9
122324,662.0
122335,969.1
122665,796.7
122797,680.2
123606,628.7
123664,841.0
123679,614.7
123686,695.9
123964,859.8
124473,867.2
125246,640.9
125328,833.6
125564,765.1
125819,587.2
126260,774.8
126280,824.1
126388,646.1
126402,755.3
127404,700.9
127898,678.0
127902,731.1
128018,580.2
128019,646.7
128585,725.3
129228,683.6
129348,745.9
130881,831.5
130904,874.0
131182,632.0
131682,707.6
131938,92.7
132059,686.0
132519,661.9
132787,740.8
132837,1097.1
132981,888.2
132995,726.9
132999,676.6
133002,785.0
133017,658.8
133076,673.4
133538,647.8
133621,682.1
133633,735.7
134018,1042.2
134019,563.8
134117,770.5
134778,616.6
137058,763.9
137556,889.9
138888,1140.0
146570,724.0
148121,619.0
148195,1044.3
148201,777.3
148211,664.2
149784,714.1
149897,671.1
151075,734.4
151171,794.9
151194,599.1
151289,889.7
151602,649.4
152481,612.3
153241,837.6
154257,719.9
156314,640.4
156414,630.2
156419,827.8
156615,78.5
157167,562.6
157922,80.3
158781,687.0
159594,973.8
159603,661.6
159899,679.4
161713,785.3
161930,837.4
162147,87.6
162834,820.7
163091,757.8
163121,900.4
164009,954.2
164451,678.6
165348,576.9
167456,666.3
167715,651.6
170345,578.6
170361,92.3
173672,717.7
173804,850.5
174174,613.3
175540,88.5
176158,1106.2
176167,753.1
176408,879.6
177992,918.8
178024,777.4
178054,870.4
179344,782.5
179617,1138.6
180559,99.5
181679,889.2
182585,758.4
182593,654.6
183351,626.8
183470,743.5
183782,726.1
184694,84.6
185680,742.8
186171,950.8
187970,992.8
188914,639.0
189562,791.3
189821,861.7
190901,725.9
192370,799.0
192706,717.8
193381,761.5
193962,1102.1
196841,748.4
196918,833.3
196968,882.5
197690,661.5
197706,684.5
197835,660.3
198107,703.6
199037,587.1
201134,597.7
201136,643.8
202478,587.8
208847,1202.4
208902,833.3
213039,830.1
213046,883.8
213274,92.3
213545,599.5
214346,687.4
214347,798.2
215159,688.9
216237,898.8
216239,1186.6
216284,861.5
216326,595.0
216345,886.8
219078,641.4
219081,672.7
219566,751.6
219931,718.9
220095,818.0
220433,733.4
220909,620.0
220912,88.5
221080,667.4
221226,1191.5
221245,636.0
221427,735.9
221508,575.5
221776,1157.8
221873,701.2
222105,1221.9
222114,970.7
222154,691.3
222169,1020.3
222209,779.8
222248,890.9
222268,1257.9
222680,883.0
222697,84.1
222857,1183.1
223026,811.7
223060,1053.7
223293,1260.7
223379,826.3
223396,1077.9
223457,771.4
223470,891.2
223540,873.7
223541,865.0
223561,806.6
223570,908.9
223719,1003.7
223733,1071.3
223899,851.5
224037,690.9
224178,665.4
224208,1047.9
224423,714.9
224574,763.9
224588,656.6
224612,587.5
224716,912.3
224790,816.4
225223,865.0
225293,1099.9
225320,649.7
225433,94.5
225436,661.3
225574,92.7
225703,85.4
226343,758.2
226508,1001.7
226552,652.9
226655,619.6
226677,975.6
226756,1081.4
227337,893.0
227345,772.2
227493,901.3
227510,672.2
227516,962.7
227518,731.4
227528,827.4
227532,791.2
227775,890.5
227839,730.7
227884,918.4
227994,592.0
228023,89.5
228412,664.8
228632,794.2
229284,667.1
229285,643.3
229296,617.3
229321,1142.8
229514,648.8
229515,667.1
229747,700.9
229768,741.9
229856,828.3
229862,690.5
229942,751.8
229969,792.3
230602,821.0
230648,622.6
230919,1131.8
231244,1097.3
231430,584.0
231437,837.3
231439,919.4
231576,82.1
231625,1253.8
231705,708.1
232048,838.0
232067,716.7
232204,853.8
232315,816.6
232439,663.3
232570,795.0
232590,796.6
232850,1009.6
233294,829.7
233296,614.1
233331,890.3
233722,1191.5
233815,669.6
233871,798.8
233874,958.4
234126,909.0
234249,895.3
234395,1070.4
234475,803.0
234502,714.4
234602,1102.3
234683,846.7
234937,606.8
235012,963.8
235025,677.0
235288,622.0
235333,629.5
235437,634.5
235811,979.5
235837,1181.4
235856,869.9
235922,872.9
235981,1134.3
236003,868.9
236027,648.8
236065,970.3
236210,746.7
236243,871.3
236331,650.8
236401,718.9
236501,653.6
236783,920.2
236902,804.4
236933,1093.3
237057,753.8
237119,109.8
237195,648.8
237306,671.9
237481,782.1
237490,1186.3
237637,700.2
237795,723.2
237923,705.4
237930,698.4
238013,687.5
238065,748.6
238307,668.8
238430,615.8
238490,680.4
238745,658.1
238802,852.4
238909,979.5
239043,86.1
239173,1300.5
239465,842.2
239490,680.9
239534,101.0
239538,830.0
239679,765.5
239710,851.8
239922,693.8
239941,846.2
239982,623.5
240167,1164.2
240168,1159.3
240204,735.6
240350,1155.8
240426,635.3
240805,845.2
240876,969.7
241052,1019.4
241106,99.5
241338,795.8
241512,650.2
241827,644.1
242073,595.6
242230,675.9
242249,1241.2
242279,597.4
242305,679.6
242571,1049.2
242587,733.3
242789,753.4
242924,84.8
243120,1002.0
243948,85.6
244086,762.9
244091,700.6
244188,683.3
244300,87.9
244312,782.5
244522,852.7
244527,556.8
244677,777.0
244733,1042.6
244746,1025.1
244923,735.1
245201,667.4
245299,956.2
245369,892.3
245625,594.0
245687,643.8
246547,83.3
246666,854.1
246745,931.7
246783,978.3
246787,766.8
246831,909.3
246835,805.0
246853,1255.2
246909,111.7
247251,595.5
247404,696.3
247486,621.5
247527,88.4
247634,623.6
247869,686.4
247932,921.0
247951,581.4
248010,110.7
248197,1075.3
248206,629.6
248425,114.8
248507,628.5
248791,733.0
248998,650.0
249307,617.9
249398,939.0
249624,866.0
249751,880.4
249885,88.8
249995,800.8
250222,702.2
250248,822.2
250648,643.1
250770,627.6
250901,1125.7
250943,604.4
251469,777.2
251562,659.6
251922,760.3
251928,512.6
252031,808.8
253078,575.1
253500,1133.8
253903,679.2
253996,673.4
254258,778.4
254334,711.3
254339,620.4
254566,765.2
254577,570.4
254722,608.3
254854,641.6
254959,1133.0
254996,962.7
255082,88.3
255289,605.4
255326,1248.5
255330,1105.1
255437,1197.4
255817,696.7
255871,1098.0
255922,981.8
256042,692.0
256230,627.6
256308,662.5
256462,673.8
256467,80.7
256561,1261.7
256689,790.1
256762,1236.1
256816,96.0
257244,1056.5
257275,721.7
257356,789.9
257702,629.8
258149,588.3
258233,825.8
258293,825.7
258324,724.4
258411,907.0
258441,813.8
258624,672.6
259084,1259.5
259144,883.6
259159,1106.4
259232,641.5
259263,956.5
259366,660.8
259462,569.8
259580,794.6
260257,865.6
260270,827.7
260271,845.7
260272,786.7
260282,723.6
260288,698.1
260291,726.7
260295,781.7
260309,856.5
260644,773.4
260994,740.8
261472,765.4
262030,761.4
262649,1092.4
263305,1029.7
263463,1202.2
263555,648.1
264115,88.9
264512,961.3
264679,1256.0
264714,1047.7
264984,883.1
265127,607.5
265545,630.8
265584,720.9
265594,1185.2
265885,676.5
265905,670.1
265953,89.0
266335,656.8
266518,739.5
266625,883.3
266689,1005.1
266913,724.1
266923,598.7
267115,676.9
267162,1033.5
267294,850.4
267295,697.0
267330,756.5
267378,555.4
267769,86.4
268498,822.2
268715,727.0
268717,664.1
268967,695.1
269008,786.9
269128,747.1
269153,718.5
269208,676.9
269341,844.9
269431,888.6
269609,782.1
269657,621.5
269707,1212.3
270273,754.4
271091,689.6
271429,845.5
272130,683.7
272152,644.6
272224,839.7
272334,980.8
272338,806.1
272364,1272.7
272568,829.8
272645,629.0
272940,715.8
273076,886.6
273543,762.1
273956,713.6
274155,595.0
274295,637.1
274299,693.7
274314,639.6
274319,617.6
274542,861.8
274547,915.9
274680,759.1
274709,804.2
274749,705.0
275137,729.5
275363,658.2
275416,720.8
275430,633.9
275498,969.9
275503,700.0
276137,687.5
276228,657.8
276388,625.4
276750,858.3
276764,85.2
276874,914.1
277117,933.4
277385,883.2
277386,623.9
277465,1104.2
277822,92.7
278092,647.1
278156,623.6
278354,839.2
278444,892.4
278483,642.1
278806,606.5
278808,708.1
279426,659.6
279609,758.3
279631,984.9
280831,753.8
280860,811.7
280895,91.5
280908,604.4
280936,899.2
280939,640.6
281303,799.9
281701,582.9
281704,552.1
281790,961.7
281860,752.8
282095,873.4
282171,710.5
282222,1168.7
282395,78.4
283210,774.0
283529,745.3
283537,617.0
283562,738.1
284708,665.3
285033,662.0
285402,781.7
285410,842.2
285449,731.9
286140,1107.3
286526,854.5
286636,729.8
286701,775.9
286826,845.6
286876,1219.8
287142,786.1
287215,602.5
287384,732.4
288282,630.7
288322,1024.1
288389,799.7
288604,89.9
288774,1348.6
288814,995.9
289049,603.8
289701,877.5
289840,594.1
289999,880.8
290282,864.7
290289,883.5
290470,815.3
290486,615.9
290502,1200.2
290557,734.5
290636,854.6
290654,641.9
290794,719.7
291072,911.5
291128,633.5
291133,699.1
291663,669.3
291946,704.7
292106,695.8
292136,637.5
292268,794.2
292642,1222.5
292774,702.1
292795,1132.3
292850,1041.8
292896,883.7
293093,723.4
294184,674.5
294256,680.0
294461,637.0
294530,567.4
294609,750.7
294758,925.6
295052,870.5
295274,1131.8
295350,827.2
295991,661.5
295994,784.2
296069,567.1
296093,800.3
296105,910.6
296319,639.6
296321,615.8
296365,751.2
296409,761.3
296441,911.1
296470,876.4
296597,601.9
297252,663.2
297284,618.6
298002,1125.5
298466,678.4
299925,1014.3
299926,749.6
300025,960.2
300471,861.8
300555,776.5
300571,705.1
300573,847.1
300631,83.2
301739,841.8
301742,840.6
301926,1110.7
301935,601.0
302654,672.9
302780,1135.4
303144,878.3
303321,653.4
303587,687.7
303676,610.5
303834,834.2
303903,631.4
303926,738.3
304102,965.4
304350,630.4
304622,90.8
305669,1099.2
305814,878.7
305916,638.2
306137,593.8
306162,895.8
306262,673.5
307154,1075.5
307181,667.2
307712,846.1
307727,751.2
307728,790.3
307963,90.9
308223,802.3
308753,660.9
308871,877.6
309163,785.6
309166,700.1
309179,736.9
309280,1086.3
309281,1139.9
309498,1248.3
310231,894.1
310360,771.7
310541,1065.0
310557,1057.0
310661,972.4
310951,1006.6
311375,1025.5
311386,646.7
311391,855.8
311401,751.1
311434,865.2
311767,702.7
312002,721.7
313384,97.1
313441,645.0
313606,1048.4
314836,644.6
314890,625.6
314956,1024.1
315155,874.1
315364,661.4
315805,921.7
315807,898.0
315810,931.6
315878,638.1
316732,798.5
318119,657.8
318130,536.9
318461,90.5
319095,654.9
319257,629.1
319859,85.5
320287,717.3
320832,663.3
320833,89.6
320919,1006.4
321073,821.0
321725,667.6
321817,1038.0
322051,650.0
322224,564.1
322251,573.7
322404,803.8
322430,819.2
322919,797.9
322942,1118.2
322968,86.3
323251,665.9
323282,684.2
323484,978.7
323487,810.4
323532,721.3
323572,96.7
323587,523.1
323637,716.4
323701,116.6
324088,750.9
324167,688.5
324213,1015.2
324319,755.9
325181,672.1
325415,92.9
325418,753.2
325419,819.7
325426,646.7
325503,666.1
325654,877.7
325742,866.0
325823,924.0
325852,654.6
326023,749.2
326412,669.1
326413,703.8
326813,759.6
326899,650.8
326907,1038.8
326959,763.8
326978,917.3
327018,960.4
327172,983.3
327173,892.5
327277,855.6
327517,663.8
327536,717.6
327564,641.2
327589,738.7
327653,729.0
327719,657.5
327913,714.8
328013,811.7
328377,691.3
328621,870.2
328761,1171.2
328865,100.7
328910,852.1
329188,775.3
329826,840.2
330164,90.5
330267,746.7
330535,638.1
330720,731.7
330740,1044.6
331154,732.8
331161,874.0
331285,619.3
331343,785.9
331544,629.6
331762,1095.3
331807,1071.4
332154,722.8
332237,724.6
332278,975.1
332429,1050.7
332464,690.8
332650,1034.3
332697,695.8
332784,916.1
332790,949.7
332921,860.7
332939,816.2
333588,925.8
333739,1128.0
333814,697.8
334189,609.9
334739,824.4
334822,655.4
334940,725.8
335095,897.1
335096,633.9
335175,1076.2
335306,855.4
335352,583.2
335450,737.9
336022,733.4
336378,1191.6
336486,602.6
336684,1208.8
336697,894.3
336892,797.9
338515,849.1
338659,775.4
338688,953.7
339237,1032.9
339341,756.1
339573,888.9
339578,792.4
339579,713.6
339701,1038.9
339736,924.7
339743,718.9
340229,614.1
340233,601.3
340548,726.5
340904,737.4
341156,1063.5
341385,773.4
341427,649.5
341706,1033.9
341725,961.9
341821,650.2
341878,821.7
342023,622.7
342323,666.7
342499,905.4
342586,817.1
342695,689.2
342896,1193.3
343103,635.5
343375,1167.6
344075,1004.7
344265,858.5
345398,692.5
345651,613.2
346721,1134.5
346926,546.8
348695,532.2
349243,776.4
352022,837.1
353136,630.8
353644,654.8
353973,733.4
354261,1161.9
354527,727.7
355940,932.6
356336,1022.9
356897,647.0
356986,74.2
359385,845.8
359473,901.6
360506,701.7
360580,669.8
360923,982.8
360924,1020.4
361013,681.3
361208,567.2
361264,1120.5
361332,1103.5
361920,93.7
362004,845.0
362067,747.2
362112,1025.2
362262,1185.2
362604,1001.9
362742,717.1
363096,986.9
363133,873.6
364042,883.9
364074,1032.1
364097,1009.4
364620,714.7
364762,1144.5
364770,1030.5
364824,768.5
365388,839.7
365521,977.1
365675,649.8
366299,114.8
366637,948.6
366651,799.6
366653,862.5
366670,760.9
366719,879.0
366721,791.9
367741,828.8
367787,594.5
367789,736.4
367839,770.3
367850,609.7
368091,801.8
368696,946.4
369067,634.8
369539,1119.0
369976,691.9
371257,578.9
371311,780.3
371593,868.1
372186,868.1
373829,1155.1
374760,659.5
375120,653.3
375122,715.1
376949,599.6
378296,649.7
378811,874.6
379593,620.2
381514,884.9
384217,753.0
384525,880.5
386518,594.7
386524,555.5
386770,78.1
386819,1059.2
388201,1101.9
389012,1263.2
389753,977.3
390181,827.5
390799,809.4
390891,727.1
391131,1077.1
392966,1112.3
394347,584.9
394449,873.2
398009,1067.7
400633,873.7
403017,704.2
403923,871.4
407885,670.2
408204,739.4
409805,567.5
409834,661.9
414241,895.8
415629,741.1
417420,619.0
418094,693.1
418436,553.6
419029,589.3
420763,608.7
421610,710.9
424929,641.1
430430,616.5
430455,600.7
431052,774.1
432820,549.1
432860,652.7
432873,735.5
433451,1084.0
434381,567.8
434633,620.8
435524,584.4
435751,1270.8
436065,593.6
441074,616.4
442977,601.0
443372,89.1
443951,679.1
443955,776.8
444025,1154.8
444031,740.1
444254,92.1
446154,910.1
446541,799.6
447280,552.3
448002,615.3
448662,894.7
449054,635.0
449193,1024.2
451668,110.3
451875,113.2
451991,82.3
452967,1030.1
455774,970.5
456199,916.0
461802,611.1
464205,117.5
472979,773.5
472981,743.8
472984,654.0
475318,0.3
483407,674.5
491941,698.8
497456,1019.8
499439,1040.6
509070,1147.0
517779,598.9
519183,513.4
523975,652.8
531825,642.4
531914,964.3
538439,742.2
550758,84.6
551139,589.5
556017,760.9
559309,768.7
563295,645.0
566910,579.0
567729,86.1
567977,625.4
568038,553.8
568416,800.8
568818,646.4
572495,785.7
574268,859.7
574780,668.2
575109,639.4
575183,553.3
577329,887.1
579459,811.7
579523,995.3
580747,658.8
580769,90.3
582167,554.4
590528,580.0
591348,717.1
591546,612.6
593552,603.1
594048,738.7
594847,965.2
596404,769.8
596800,584.8
596970,782.9
599139,886.8
599476,635.7
600610,839.9
600612,972.7
604519,623.5
606276,724.8
609483,787.0
610479,1055.2
610682,649.1
610696,736.8
616236,803.4
616958,882.3
618552,830.7
618951,780.2
622356,1173.1
623055,1121.3
624575,708.6
625773,1074.4
625988,1003.7
626717,671.9
628301,916.2
629126,577.7
633903,705.8
638234,89.6
641768,111.0
641785,903.3
643606,671.0
644020,87.0
644241,775.7
644733,784.4
646177,543.5
646260,829.9
646361,759.4
646503,713.1
646625,627.2
646858,704.7
646917,879.7
646980,994.6
647121,668.4
647556,932.4
648155,636.1
648414,737.1
649007,642.9
649054,1003.9
649112,598.3
649649,657.5
650108,565.6
650434,842.5
650475,907.6
650903,776.8
650923,524.2
651069,578.4
651680,576.0
651864,640.8
652274,588.1
652327,932.9
652593,777.4
652673,81.8
652734,89.5
653468,645.7
654086,196.8
654197,803.5
655922,624.7
656095,973.3
657038,831.2
657237,573.0
657255,1026.8
657345,89.7
657380,655.8
657973,583.0
658411,911.7
658735,81.9
659759,593.0
659840,660.7
660060,732.4
660065,572.4
660250,817.0
660273,107.2
660561,625.7
660613,943.8
661151,951.8
661405,621.5
661804,662.4
662373,719.0
662514,878.5
662843,633.7
662876,706.0
663970,954.5
664053,639.7
664197,771.7
664214,614.9
664689,675.7
664849,581.5
665792,838.1
665827,1338.0
665889,732.3
665914,591.5
666079,564.1
666286,758.3
666340,1337.9
666478,591.1
666649,796.7
666664,829.8
666773,636.3
666777,587.1
666886,822.6
667254,560.6
667289,578.0
667356,707.3
667468,760.5
667528,925.1
667550,866.1
667702,647.7
668712,1043.9
669498,867.9
670408,96.3
670908,85.3
671594,580.1
671741,1034.6
672031,787.3
672387,721.7
672646,973.7
672872,947.1
673225,743.9
673703,657.7
673711,666.0
673914,560.0
674518,614.0
674888,873.2
675214,1096.8
675215,1205.7
675333,87.9
675345,570.9
675506,833.6
675809,768.2
676325,644.9
676352,795.8
677913,1133.3
678358,705.5
678867,844.9
680502,1187.1
681004,953.5
681064,988.2
681304,718.6
682137,832.1
682441,777.6
683052,1335.1
683593,903.5
683754,901.9
683789,1048.5
684108,933.7
684150,626.2
684639,578.8
684682,810.0
684958,577.3
685040,624.9
685791,698.7
685958,772.4
686128,882.1
686615,576.1
686632,1083.8
687152,532.2
687266,555.8
687743,802.1
688042,645.3
688095,603.2
688570,362.0
689048,709.2
689136,1129.2
689155,692.8
689162,1304.9
689200,833.7
690181,1072.5
690337,768.9
690338,732.5
691412,604.7
691739,813.0
692416,1086.1
692703,1111.7
693106,485.7
693624,589.7
693689,654.5
694396,952.7
694528,548.6
694700,718.6
694825,1210.0
695162,599.5
695251,718.4
695267,655.9
695453,891.0
695880,1037.5
695902,906.3
696036,963.4
696042,891.9
696532,820.7
696571,559.9
696668,750.7
696669,820.7
696671,921.3
696674,771.4
696675,1056.4
696680,819.8
696687,1027.1
696689,832.9
696896,1149.9
697280,818.2
697287,704.9
697292,662.5
697710,1015.7
697760,530.3
697807,674.1
698012,759.3
698020,914.0
698112,813.3
698450,636.7
698478,625.7
698648,84.8
698943,1067.7
698964,1243.6
699119,1027.1
700113,989.5
700132,767.3
700199,983.0
700285,768.2
700620,922.7
700674,649.9
700925,86.5
701064,1121.0
701244,860.0
701252,780.0
