"","Name","System","RT","Pubchem"
"83","epicatechin gallate","FEM_long",24.72,367141
"84","epigallocatechin","FEM_long",16.505,1249
"85","epigallo-catechin gallate","FEM_long",22.2925,1287
"86","3,5-dihydroxybenzoic acid","FEM_long",14.3,7424
"87","4-hydroxybenzoic acid","FEM_long",17.48,135
"88","astringin","FEM_long",22.7,5089891
"89","caffeic acid+catechin condensation product","FEM_long",26.09,496377
"90","caftaric acid","FEM_long",15.5,53398694
"91","cis-Îµ-viniferin","FEM_long",33.46,366354
"92","cis-piceid","FEM_long",27.25,393787
"93","cis-resveratrol","FEM_long",30.35,5056
"94","ellagic acid","FEM_long",30.2,5281855
"95","epiafzelechin","FEM_long",24.37,282014
"96","esculetin","FEM_long",20.13,5281416
"97","fertaric acid","FEM_long",19.5,69501207
"98","fraxin","FEM_long",20.87,5909448
"99","hesperetin","FEM_long",34.78,3593
"100","methyl gallate","FEM_long",18.2,7428
"101","isohopeaphenol","FEM_long",25.89,495605
"102","naringenin","FEM_long",33.75,932
"103","isorhamnetin 3-glucoside","FEM_long",31.53,13245586
"104","isorhamnetin 3-rutinoside","FEM_long",31.7,6223069
"105","isorhapontin","FEM_long",26.13,5090283
"106","kaempferol 3-glucoside","FEM_long",31.25,5462193
"107","kaempferol 3-rutinoside","FEM_long",31.35,12313332
"108","luteolin 7-glucoside","FEM_long",28.06,5291488
"109","myricetin","FEM_long",30.89,5281672
"110","naringenin 7-glucoside","FEM_long",27.94,282013
"111","o-coumaric acid","FEM_long",28.05,11968
"112","oxovitisin A","FEM_long",33.21,135031053
"113","pallidol","FEM_long",25.92,57518717
"114","phloridzin","FEM_long",29.6,4789
"115","piceatanol","FEM_long",26.54,4813
"116","procyanidin B1","FEM_long",18.1425,130556
"117","pterostilbene","FEM_long",41.38,160517
"118","quercetin 4'-glucoside","FEM_long",30.4,12442954
"119","quercetin 3-sulfate","FEM_long",27.4,5280362
"120","quercetin 3-glucoside","FEM_long",29.1,13179952
"121","quercetin 3-rutinoside","FEM_long",29.1,5293655
"122","syringic acid","FEM_long",21.9,10742
"123","taxifolin","FEM_long",25.27,471
"124","trans coutaric acid","FEM_long",17.99,67380062
"125","rhamnazin","FEM_long",42.2,5320945
"126","naringin","FEM_long",28.6,4441
"127","methyl-glucuronide","FEM_long",2.4,413696
"128","genipin","FEM_long",24.2,23340
"129","vitisin A","FEM_long",28.3,NA
"130","ethyl gallate ","FEM_long",23.02,13250
"131","(+)-catechin gallate","FEM_long",25.915,21872046
"132","(Â±)-theaspirane","FEM_long",48.08,61953
"133","(R)-(+)-pulegone","FEM_long",38.9,6988
"134","1,3 diaminopropane ","FEM_long",1,428
"135","1,4-diaminobutane","FEM_long",1.1,1045
"136","1H-indol-3-ylacetic acid","FEM_long",26.605,802
"137","2,6-dihydroxybenzoic acid","FEM_long",16.9,9338
"138","2'-deoxyguanosine-5'-phosphate","FEM_long",7.99,645
"139","2-keto-D-gluconic acid","FEM_long",1.4,50
"140","2-ketoglutaric acid","FEM_long",2.2,51
"141","2-methoxy-4-vinylphenol","FEM_long",31.3,332
"142","2-methyl butyric acid","FEM_long",22.2,8314
"143","2-methylbutylamine","FEM_long",6.5,7283
"144","2-phenoxyethyl isobutyrate ","FEM_long",40.2,61005
"145","2-pyrrolidinone","FEM_long",5.9,12025
"146","3-ethoxy-4-hydroxybenzaldehyde","FEM_long",27.25,8467
"147","3-hydroxy-3-methyl glutaric acid","FEM_long",7.04,1662
"148","3-hydroxybenzaldehyd","FEM_long",20.3,101
"149","3-methyl indole","FEM_long",34.1,6736
"150","4-(4-hydroxyphenyl)butan-2-one","FEM_long",24.6,21648
"151","4-aminobenzoic acid","FEM_long",12.29,978
"152","4-dimethylaminocinnamaldehyde","FEM_long",34.5,92224
"153","4-hydroxycoumarin","FEM_long",24.2,14101
"154","4-methylumbelliferone","FEM_long",27.81,5280567
"155","4-stilbenol","FEM_long",41.8,92971
"156","5-hydroxymethyl-2-furaldehyde","FEM_long",11.94,237332
"157","5-keto-D-gluconic acid","FEM_long",1.42,157
"158","5-methyl furfural","FEM_long",20.29,12097
"159","6-methoxyflavone","FEM_long",42.9,147157
"160","abscisic acid","FEM_long",31.3,287291
"161","Acetovanillone","FEM_long",23.9,2214
"162","acetylcysteine","FEM_long",7.995,581
"163","adenosine 2'-monophosphate","FEM_long",10.895,256106
"164","adenosine 5â€_-monophosphate","FEM_long",4.08,224
"165","Adenylosuccinic acid","FEM_long",12.715,195
"166","adipic acid ","FEM_long",15.5,196
"167","adonitol","FEM_long",1.381666667,827
"168","agmatine","FEM_long",1.185,199
"169","alanine","FEM_long",0.69,602
"170","allose","FEM_long",1.34875,206
"171","Alpha lipoamide","FEM_long",29,863
"172","alpha-tocopherol","FEM_long",59.2,2116
"173","altrose ","FEM_long",1.4275,24749
"174","ampelopsin D + quadrangularin A","FEM_long",26.215,73194217
"175","amygdalin","FEM_long",19.3,2180
"176","anisaldehyde","FEM_long",27.1,31244
"177","anthranilic acid","FEM_long",19.095,227
"178","apigenin","FEM_long",37.1,5280443
"179","apigenin-7-O-glucoside","FEM_long",28.915,5385553
"180","arabinose","FEM_long",1.4075,854
"181","arachidonic acid","FEM_long",53.5,231
"182","arbutin","FEM_long",7.605,346
"183","baicalein","FEM_long",36.65,5281605
"184","behenic acid","FEM_long",58.7,8215
"185","benzoic acid","FEM_long",26.2,243
"186","benzophenone","FEM_long",39.1,3102
"187","benzyl benzoate","FEM_long",43.5,2345
"188","betaine","FEM_long",1.375,247
"189","beta-resorcylic acid","FEM_long",19.6,1491
"190","betulinic acid","FEM_long",53.2,2371
"191","b-ionol","FEM_long",46.3,519915
"192","biotin","FEM_long",21.6,253
"193","Butyl stearate","FEM_long",59.54,31278
"194","cadaverine","FEM_long",1.1,273
"195","caffeic acid","FEM_long",20.7,2518
"196","caffeine","FEM_long",20.37,2519
"197","camphor","FEM_long",36.5,2537
"198","cellobiose ","FEM_long",1.55,294
"199","chinchonidine sulphate","FEM_long",19.15,2757
"200","chlorogenic acid","FEM_long",18,348159
"201","cholesterol","FEM_long",60.2,304
"202","Cholesterol 5-Î±,6-Î±-epoxide","FEM_long",57.7,288202
"203","choline","FEM_long",1.4,NA
"204","chrysin","FEM_long",40.88,5281607
"205","cinnamic acid","FEM_long",31.8,8784
"206","cis-11-eicosenoic acid","FEM_long",56.2,142770
"207","citramalic acid","FEM_long",5.185,1081
"208","citric acid","FEM_long",3.91,311
"209","coniferyl alcohol","FEM_long",22.8,9983
"210","coniferyl aldehyde","FEM_long",25.895,9984
"211","cryptochlorogenic acid","FEM_long",20.1,58427569
"212","cuminaldehyde","FEM_long",38.6,326
"213","cyanidin","FEM_long",28.9,NA
"214","D(-)fructose","FEM_long",1.4,1101
"215","D-(-)-Ribose","FEM_long",1.4,993
"216","D(-)-Salicin","FEM_long",16.1,5145
"217","D-(+)-fucose","FEM_long",1.8,220001
"218","D-(+)galacturonic acid","FEM_long",1.33,152867
"219","D-(+)-trehalose","FEM_long",1.5,1143
"220","daidzein","FEM_long",32.5,5281708
"221","daphnetin","FEM_long",21.595,54719604
"222","decanoic acid","FEM_long",45.615,2969
"223","dehydroascorbic acid","FEM_long",1.72,835
"224","delphinidin","FEM_long",27.1,NA
"225","diethylamine","FEM_long",1.68,8021
"226","dihidro alpha ionone","FEM_long",46.1,118287
"227","dihydrokaempferol","FEM_long",27.82,662
"228","Docosapentaenoic acid","FEM_long",54,3035421
"229","D-pantothenic acid","FEM_long",14.3,988
"230","emodin","FEM_long",46.405,3220
"231","ergosterol","FEM_long",58.9,247705
"232","eriodictyol","FEM_long",31.015,11095
"233","esculin","FEM_long",17.8,5351506
"234","ethyl indole-3-acetate","FEM_long",35.5,13067
"235","ethyl linoleate","FEM_long",56.12,11001
"236","ethyl tetradecanoate","FEM_long",55.105,31283
"237","eugenyl acetate","FEM_long",38.3,7136
"238","eupatorin-5-methylether","FEM_long",37.4,7020615
"239","farnesyl glucoside","FEM_long",46.275,NA
"240","ferulic acid","FEM_long",25.9,709
"241","fumaric acid","FEM_long",3.5425,723
"242","furan-2-carboxylic acid","FEM_long",12.7,6919
"243","furfural","FEM_long",12.2,7362
"244","galangin","FEM_long",41.38,5281616
"245","gallic acid","FEM_long",8.95,370
"246","gamma-aminobutyric acid","FEM_long",2.15,119
"247","gamma-glutamylcysteine","FEM_long",3.275,842
"248","genistein","FEM_long",35.1,5280961
"249","gentisic acid","FEM_long",17,3469
"250","geranyl acetone","FEM_long",46.5,19633
"251","geranyl benzoate","FEM_long",51.3,60980
"252","geranyl glucoside","FEM_long",36.7,73117623
"253","geranyl propionate","FEM_long",48.2,7782
"254","gluconic acid","FEM_long",1.4,604
"255","glucose-6-phosphate","FEM_long",1.22,208
"256","glutaric acid","FEM_long",10.24,743
"257","glyceric acid","FEM_long",1.45,752
"258","glycine","FEM_long",1.22,750
"259","guaiacol","FEM_long",22.5,460
"260","guanidine","FEM_long",1.3,3520
"261","guanine","FEM_long",3.215,764
"262","hexanoic acid","FEM_long",30.885,8892
"263","hexylamine","FEM_long",15.1,8102
"264","hippuric acid","FEM_long",17.28,464
"265","histamine","FEM_long",1.1,774
"266","Hyocholic acid","FEM_long",45.58,495539
"267","hyodeoxycholic acid","FEM_long",46.35,227033
"268","indole","FEM_long",28.1,798
"269","indole-2-carboxylic acid","FEM_long",38.5,72899
"270","Indole-3-aldehyde","FEM_long",25.12,10256
"271","indole-3-carboxylic acid","FEM_long",25.59,69867
"272","indole-3-propionic acid","FEM_long",30.275,3744
"273","indole-3-pyruvic acid","FEM_long",30.285,803
"274","Indolelactic acid","FEM_long",24.6,92904
"275","isopentylamine","FEM_long",6.9,7894
"276","isopropyl malic acid","FEM_long",18.105,77
"277","isorhamnetin","FEM_long",37.1,5281654
"278","jasmonic acid","FEM_long",33.7,557758
"279","kaempferol","FEM_long",36.605,5280863
"280","kaempferol 3-O-glucuronide","FEM_long",30.675,14185731
"281","quinic acid","FEM_long",1.605,1064
"282","L-(+)-Arginine","FEM_long",1.215,232
"283","L-(+)-tartaric acid","FEM_long",1.51,875
"284","lactic acid","FEM_long",2.51,612
"285","laricitrin","FEM_long",34.685,5282154
"286","L-ascorbic acid","FEM_long",2.385,54676860
"287","L-asparagine","FEM_long",1.275,236
"288","L-aspartic acid","FEM_long",1.285,424
"289","L-citrulline","FEM_long",1.4,833
"290","L-cystathionine","FEM_long",1.21,834
"291","L-cysteine","FEM_long",1.225,594
"292","L-glutamic acid","FEM_long",1.315,611
"293","L-Glutamine","FEM_long",1.3,738
"294","L-glutathione","FEM_long",3.405,745
"295","L-histidine","FEM_long",1.2,773
"296","L-homoserine","FEM_long",1.29,779
"297","linalyl benzoate","FEM_long",50.8,31353
"298","linoleic acid","FEM_long",53.6,3931
"299","linolenic acid","FEM_long",52.3,860
"300","L-isoleucine","FEM_long",4.615,791
"301","L-kynurenine","FEM_long",11.005,846
"302","L-leucine","FEM_long",4.98,857
"303","L-lysine","FEM_long",1.18,866
"304","L-malic acid","FEM_long",2.005,525
"305","L-methionine","FEM_long",2.8,876
"306","L-norvaline","FEM_long",2.3,824
"307","L-ornithine","FEM_long",1.1,389
"308","L-phenylalanine","FEM_long",11.5,994
"309","L-proline","FEM_long",1.595,614
"310","L-saccharopine","FEM_long",1.375,1087
"311","L-serine","FEM_long",1.215,617
"312","L-threonine","FEM_long",1.305,205
"313","L-tryptophan","FEM_long",16,1148
"314","L-tyrosine","FEM_long",6.085,1153
"315","lupeol","FEM_long",60,521518
"316","luteolin","FEM_long",34.69,5280445
"317","L-valine","FEM_long",2.185,1182
"318","malonic acid","FEM_long",2.11,867
"319","malvidin-3-galactoside","FEM_long",24.2,NA
"320","malvidin-3-glucoside methyl acetate","FEM_long",28.9,NA
"321","mannitol","FEM_long",1.375,453
"322","m-coumaric acid","FEM_long",26.175,11496
"323","melibiose","FEM_long",1.4,872
"324","methyl arachidate","FEM_long",59.2,14259
"325","methyl behenate","FEM_long",61.2,13584
"326","methyl caprylate","FEM_long",44.25,8091
"327","methyl cis-11-eicosenoate","FEM_long",57.86,102251
"328","Methyl henicosanoate","FEM_long",60.4,22434
"329","methyl heptadecanoate","FEM_long",57.1,15609
"330","methyl jasmonate","FEM_long",38.425,62388
"331","methyl linolenate","FEM_long",54.5,9316
"332","methyl myristate","FEM_long",54.425,31284
"333","methyl nonadecanoate","FEM_long",58.5,15610
"334","methyl oleate","FEM_long",56.515,8202
"335","methyl palmitate","FEM_long",56.4,8181
"336","methyl palmitoleate","FEM_long",54.9,14258
"337","methyl sanguisorboate","FEM_long",30.1,NA
"338","methyl stearate","FEM_long",57.8,8201
"339","methyl-3-mercaptoproprionate","FEM_long",33.795,18050
"340","methylsalicylate ester","FEM_long",34.5,4133
"341","morin ","FEM_long",31.915,5281670
"342","morpholine","FEM_long",1.4,8083
"343","mucic acid","FEM_long",1.3,607
"344","myo-inositol","FEM_long",1.22,892
"345","Myricitrin (myricetin 3-O-rhamnoside)","FEM_long",28.3,5352000
"346","N-acetyl tyrosine","FEM_long",17.38,89216
"347","N-acetyl-galactosamine","FEM_long",1.486666667,899
"348","N-Acetyl-neuraminic acid","FEM_long",1.495,906
"349","n-heptanoic acid","FEM_long",36.09,8094
"350","N-hydroxysuccinimide","FEM_long",2,80170
"351","nicotinamide","FEM_long",3.79,936
"352","nicotine","FEM_long",4.64,942
"353","nicotinic acid","FEM_long",2.975,938
"354","nicotinic acid mononucleotide","FEM_long",2.1,4484
"355","nonanoic acid","FEM_long",43.105,8158
"356","octanoic acid","FEM_long",40.015,379
"357","octyl glucopyranoside","FEM_long",37.6,548230
"358","octylamine","FEM_long",27.585,8143
"359","oleic acid","FEM_long",54.85,965
"360","O-phospho-L-serine","FEM_long",1.21,106
"361","orientin","FEM_long",25.485,5382105
"362","palmitic acid","FEM_long",54.42,985
"363","palmitoleic acid","FEM_long",52.8,4668
"364","p-coumaric acid","FEM_long",24.3,322
"365","pelargonidin-3,5-diglucoside","FEM_long",19.6,NA
"366","pelargonidin-3-glucoside","FEM_long",23.7,NA
"367","peonidin-3-arabinoside","FEM_long",24.8,NA
"368","petunidin","FEM_long",29.7,NA
"369","phenethylamine","FEM_long",12.1,1001
"370","pinitol","FEM_long",1.405,230881
"371","piperazine carboxylic acid","FEM_long",1.185,2723758
"372","piperidine hydrochloride","FEM_long",2.5,8082
"373","piperine","FEM_long",40.7,4840
"374","piperonylic acid","FEM_long",26.715,7196
"375","propylamine","FEM_long",1.5,7852
"376","protocatechuic acid","FEM_long",13.9,72
"377","pyridoxal ","FEM_long",3.775,1050
"378","pyridoxal 5-phosphate","FEM_long",3.99,1051
"379","pyridoxamine","FEM_long",1.42,1052
"380","pyridoxamine 5-phosphate","FEM_long",1.405,1053
"381","pyridoxine","FEM_long",4.9,1054
"382","pyrocatechol","FEM_long",13,289
"383","pyrrolidine","FEM_long",1.5,31268
"384","pyruvic acid","FEM_long",1.79,1060
"385","quercetin ","FEM_long",33.98,5280343
"386","quercetin-3-galactoside","FEM_long",28.95,5378597
"387","quercitrin ","FEM_long",31.1,5353915
"388","raffinose","FEM_long",2.605,219993
"389","spermidine","FEM_long",1.04,1102
"390","threose","FEM_long",1.47,101561
"391","urea","FEM_long",1.3,1176
"392","urethane","FEM_long",7.1,5641
"393","naringenin 7-glucoside","FEM_short",19.53,282013
"394","o-coumaric acid","FEM_short",19.73,11968
"395","oxovitisin A","FEM_short",20.67482759,135031053
"396","pallidol","FEM_short",17.57,57518717
"397","phloridzin","FEM_short",20.21,4789
"398","phloretin","FEM_short",21.06,4788
"399","piceatanol","FEM_short",17.88,4813
"400","procyanidin B1","FEM_short",9.66,130556
"401","pterostilbene","FEM_short",21.89,160517
"402","quercetin 3,4'-diglucoside","FEM_short",17.38,22630387
"403","quercetin 3-glucuronide","FEM_short",19.91,12004528
"404","quercetin 4'-glucoside","FEM_short",20.37,12442954
"405","quercetin 3-sulfate","FEM_short",20.11,5280362
"406","quercetin 3-glucoside","FEM_short",20,13179952
"407","quercetin 3-rutinoside","FEM_short",20,5293655
"408","syringic acid","FEM_short",13.78,10742
"409","taxifolin","FEM_short",16.82,471
"410","trans coutaric acid","FEM_short",10.7,67380062
"411","trans-Îµ-viniferin","FEM_short",20.75625,366354
"412","trilobatin","FEM_short",20.59,73830082
"413","rhamnazin","FEM_short",21.96,5320945
"414","phenacetin","FEM_short",19.35,4754
"415","naringin","FEM_short",19.86,4441
"416","methyl-glucuronide","FEM_short",2.43,413696
"417","genipin","FEM_short",16.06,23340
"418","vitisin A","FEM_short",19.30034483,NA
"419","vitisin B","FEM_short",18.3487931,NA
"420","methylpyrano malvidin 3-glucoside","FEM_short",19.74327586,NA
"421","epigallo-catechin gallate","FEM_short",12.73,1287
"422","3,4-dihydroxybenzoic acid","FEM_short",7.77,72
"423","caffeic acid+catechin condensation product","FEM_short",17.82,496377
"424","ethyl gallate ","FEM_short",15.16,13250
"425","isohopeaphenol","FEM_short",10.7,495605
"426","L-Arginine","FEM_short",1.2425,232
"427","L-tartaric acid","FEM_short",1.46,875
"428","quinic acid","FEM_short",1.58,1064
"429","succinic acid","FEM_short",3.94,1110
"430","proprionic acid","FEM_short",3.95,1032
"431","citramalic acid","FEM_short",4.02,1081
"432","L-tyrosine","FEM_short",4.28,1153
"433","L-isoleucine","FEM_short",4.44,791
"434","choline","FEM_short",1.294827586,NA
"435","betaine","FEM_short",1.340862069,247
"436","L-valine","FEM_short",1.340862069,1182
"437","L-proline","FEM_short",1.510344828,614
"438","L-glutathione","FEM_short",1.696551724,745
"439","uracil","FEM_short",2.337068966,1174
"440","uric acid","FEM_short",3.442586207,1175
"441","xanthine","FEM_short",3.966206897,1188
"442","(DL)-p-hydroxyphenyllactic acid","LIFE_new",2.66345,9378
"443","2-hydroxy-2-methylbutyric acid","LIFE_new",2.23045,95433
"444","2-hydroxyisovaleric acid","LIFE_new",2.544616667,99823
"445","androstan","LIFE_new",3.0216,96384
"446","3-hydroxy-3-methyl butanoic acid","LIFE_new",1.6329,69362
"447","3,4-dihydroxyphenylglycol","LIFE_new",0.8577,91528
"448","5-hydroxyindole-acetic acid","LIFE_new",2.920883333,1826
"449","5a-androstan-17ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂŸ-ol-3-one","LIFE_new",4.474333333,10635
"450","aamu","LIFE_new",0.666383333,88299
"451","alpha-ketoisovaleric acid","LIFE_new",1.916766667,49
"452","Cyclic(pro-thr)","LIFE_new",1.541883333,73146465
"453","cyclo-(pro-val)","LIFE_new",3.10075,98951
"454","dihydroxymandelic acid","LIFE_new",0.828833333,85782
"455","hydroquinone-glucuronide","LIFE_new",0.90965,115166
"456","iberin","LIFE_new",3.241816667,10455
"457","indole-3-acetic acid-glucuronide","LIFE_new",3.461483333,NA
"458","kahweol","LIFE_new",3.8099,4480653
"459","levulinic acid","LIFE_new",1.46105,11579
"460","pc(18:0/22:6)","LIFE_new",5.5145,24778876
"461","proline betaine","LIFE_new",0.542866667,115244
"462","testosterone","LIFE_new",4.322016667,6013
"463","theobromine","LIFE_new",2.1422,5429
"464","TMAO","LIFE_new",0.467933333,1145
"465","octanoic acid glucuronide","LIFE_new",3.920966667,127448
"466","1-methyluric acid","LIFE_new",1.270566667,69726
"467","7-methyluric acid","LIFE_new",1.07905,69160
"468","indole-3-carboxylic acid glucuronide","LIFE_new",3.420941667,53481645
"469","7-methylxanthine","LIFE_new",1.254383333,68374
"470","cmpf","LIFE_new",4.079016667,123979
"471","3-methylxanthine","LIFE_new",1.44605,70639
"472","n-methyl-4-hydroxyproline","LIFE_new",0.498233333,237040
"473","(-)-Cotinine","LIFE_new",0.792733333,408
"474","1-methyladenosine","LIFE_new",1.625783333,27476
"475","1,7-dimethylxanthine","LIFE_new",2.55745,4687
"476","2-aminoisobutyric acid","LIFE_new",0.523783333,6119
"477","2-hydroxy-5-methoxylbenzoic acid","LIFE_new",3.694866667,75787
"478","2-methylhippuric acid","LIFE_new",3.405016667,91637
"479","2-thiocytidine dihydrate","LIFE_new",0.619166667,71311249
"480","2,4-dihydroxycinnamic acid","LIFE_new",3.059316667,348154
"481","2,6-diaminopimelic acid","LIFE_new",0.439783333,439283
"482","3-hydroxy-dl-kynurenine","LIFE_new",0.785883333,89
"483","3-hydroxybutyric acid","LIFE_new",3.4358,441
"484","3-hydroxyisovaleric acid","LIFE_new",1.719166667,87
"485","3-indoleacetic acid","LIFE_new",3.633883333,802
"486","3-methylcytidine methosulfate","LIFE_new",0.619166667,16219675
"487","3,7-dimethyluric acid","LIFE_new",1.549016667,83126
"488","4-acetamidobenzoic acid","LIFE_new",3.232033333,19266
"489","4-hydroxy-3-methylbenzoic acid","LIFE_new",3.460016667,68138
"490","4-hydroxybenzaldehyde","LIFE_new",3.304133333,126
"491","4-hydroxybenzoic acid","LIFE_new",2.190266667,151012
"492","5-methylcytidine","LIFE_new",1.182033333,92918
"493","6-hydroxymelatonin","LIFE_new",3.399616667,1864
"494","7-methylguanosine","LIFE_new",0.688333333,445404
"495","alfa-(methylamino)isobutyric acid","LIFE_new",0.530533333,75725
"496","alfa-lactose monohydrate","LIFE_new",0.476,62223
"497","aliin","LIFE_new",0.63825,87310
"498","allantoic acid","LIFE_new",0.4909,203
"499","anserine","LIFE_new",0.44065,112072
"500","arginine","LIFE_new",0.435925,6322
"501","asp-phe","LIFE_new",2.674383333,93078
"502","carnosine","LIFE_new",0.437233333,439224
"503","carnosol","LIFE_new",4.514416667,2579
"504","CEL","LIFE_new",0.458516667,23400779
"505","chenodeoxycholic acid","LIFE_new",4.606283333,10133
"506","cml","LIFE_new",0.5271,15691192
"507","coenzyme q1","LIFE_new",4.474333333,4462
"508","cytidine","LIFE_new",0.532616667,6175
"509","d-pantethine","LIFE_new",3.440183333,452306
"510","d(-)-mannitol","LIFE_new",0.483116667,6251
"511","dehydrocholic acid","LIFE_new",4.051966667,6674
"512","delta-valerolactam","LIFE_new",1.686283333,12665
"513","dl-2-aminoadipic acid","LIFE_new",0.509633333,469
"514","dl-3-indolelactic acid","LIFE_new",3.521083333,92904
"515","dopamine","LIFE_new",0.711891667,681
"516","epinephrine","LIFE_new",0.564433333,5816
"517","g-h1 ((2s)-2-amino-5-(4-oxo-4,5-dihydro-1h-imidazol-2-ylamino)-pentanoic acid)","LIFE_new",0.458516667,25203989
"518","GALA ((2s)-2-amino-6-(2-hydroxy-acetylamino)-hexanoic acid)","LIFE_new",0.5271,86184845
"519","gamma-aminobutyric acid","LIFE_new",0.491183333,119
"520","glutamic acid","LIFE_new",0.475266667,33032
"521","glycochenodeoxycholic acid","LIFE_new",4.231983333,22833540
"522","glycocholic acid","LIFE_new",4.236366667,23617285
"523","glycodeoxycholic acid","LIFE_new",4.439183333,22833539
"524","glycolithocholic acid","LIFE_new",4.611116667,115245
"525","guanosine","LIFE_new",1.182033333,6802
"526","hypotaurine","LIFE_new",0.468116667,107812
"527","hypoxanthine","LIFE_new",0.705516667,790
"528","indole-3-acryloylglycine","LIFE_new",3.564516667,5370648
"529","indoxyl beta-d-glucoside","LIFE_new",2.923466667,258533
"530","indoxyl beta-d-glucuronide cyclohexylammonium salt","LIFE_new",2.9454,4379663
"531","inosine","LIFE_new",0.905966667,6021
"532","isoleucine","LIFE_new",0.975716667,6306
"533","isovalerylglycine","LIFE_new",2.742783333,546304
"534","kaempferol","LIFE_new",3.882766667,5280863
"535","kinetin","LIFE_new",3.0295,3830
"536","l-carnitine inner salt","LIFE_new",0.456716667,10917
"537","l-cysteine","LIFE_new",0.4912,5862
"538","l-cystine","LIFE_new",0.447316667,67678
"539","l-lysine","LIFE_new",0.403516667,5962
"540","l-ornithine monohydrochloride","LIFE_new",0.414533333,6262
"541","lauroyl l-carnitine","LIFE_new",4.199133333,168381
