"","Pubchem","System","mmass","rt","model_prediction"
"95",289,"FEM_long",110.036779436,13,6.59255818684896
"96",300,"RIKEN",93.982157047,0.36,8.1689697265625
"97",305,"MTBLS20",104.107539075,0.8,9.019228515625
"98",305,"MTBLS20",104.107539075,0.9,9.019228515625
"99",305,"RIKEN",104.107539075,0.17,9.019228515625
"100",311,"FEM_orbitrap_plasma",192.02700261,1.375,11.7745955403646
"101",311,"LIFE_old",192.02700261,0.785016667,11.7745955403646
"102",311,"FEM_long",192.02700261,3.91,11.7745955403646
"103",311,"MTBLS39",192.02700261,3.039115341,11.7745955403646
"104",311,"MTBLS87",192.02700261,15.5,11.7745955403646
"105",311,"LIFE_new",192.02700261,0.658683333,11.7745955403646
"106",311,"MTBLS20",192.02700261,1.7,11.7745955403646
"107",311,"MTBLS20",192.02700261,1.1,11.7745955403646
"108",326,"FEM_long",148.088815006,38.6,15.3095882161458
"109",332,"FEM_long",150.068079564,31.3,11.7244108072917
"110",338,"FEM_long",138.031694053,26.4,9.5389111328125
"111",338,"RIKEN",138.031694053,1.55,9.5389111328125
"112",346,"FEM_long",272.089602866,7.605,9.44412272135417
"113",366,"RIKEN",218.057908808,1.69,12.3917106119792
"114",370,"FEM_long",170.021523293,8.95,10.6890576171875
"115",370,"PFR-TK72",170.021523293,1.6,10.6890576171875
"116",370,"FEM_orbitrap_urine",170.021523293,2.04,10.6890576171875
"117",370,"INRA_QTOF",170.021523293,4.98,10.6890576171875
"118",370,"Qtof-PFEM",170.021523293,4.98,10.6890576171875
"119",379,"FEM_long",144.115029756,40.015,15.0511149088542
"120",379,"FEM_lipids",144.115029756,1.4,15.0511149088542
"121",385,"IPB_Halle",160.073558872,3.472433333,9.37834147135417
"122",385,"LIFE_old",160.073558872,1.716966667,9.37834147135417
"123",385,"LIFE_new",160.073558872,3.16515,9.37834147135417
"124",397,"Cao_HILIC",174.079312952,2.48,9.49872395833333
"125",397,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",174.079312952,2.456483333,9.49872395833333
"126",403,"RIKEN",109.052763851,0.2,2.11538330078125
"127",403,"MTBLS20",109.052763851,1.1,2.11538330078125
"128",403,"LIFE_old",109.052763851,0.641,2.11538330078125
"129",424,"FEM_long",133.037507709,1.285,2.33516581217448
"130",428,"FEM_long",74.08439833,1,0.00716547250747681
"131",441,"LIFE_old",104.047344122,1.780333333,8.25062337239583
"132",441,"LIFE_new",104.047344122,3.4358,8.25062337239583
"133",444,"Eawag_XBridgeC18",239.10769191,5.8,11.0919474283854
"134",457,"RIKEN",137.07148792,0.18,9.20502766927083
"135",460,"FEM_long",124.052429498,22.5,8.13806233723958
"136",464,"LIFE_old",179.058243159,1.7732,9.90580078125
"137",464,"FEM_orbitrap_urine",179.058243159,5.56,9.90580078125
"138",464,"FEM_long",179.058243159,17.28,9.90580078125
"139",464,"FEM_orbitrap_urine",179.058243159,5.97,9.90580078125
"140",464,"LIFE_new",179.058243159,3.097416667,9.90580078125
"141",464,"IPB_Halle",179.058243159,3.38825,9.90580078125
"142",464,"MTBLS20",179.058243159,5.8,9.90580078125
"143",464,"FEM_orbitrap_plasma",179.058243159,5.51,9.90580078125
"144",464,"FEM_orbitrap_plasma",179.058243159,5.32,9.90580078125
"145",464,"RIKEN",179.058243159,1.29,9.90580078125
"146",464,"INRA_QTOF",179.058243159,8.4,9.90580078125
"147",464,"Qtof-PFEM",179.058243159,8.4,9.90580078125
"148",464,"MTBLS87",179.058243159,4.4,9.90580078125
"149",469,"LIFE_new",161.068807845,0.509633333,1.49984242757161
"150",469,"LIFE_old",161.068807845,0.65715,1.49984242757161
"151",487,"LIFE_new",118.02660868,0.539366667,8.51488444010417
"152",487,"LIFE_old",118.02660868,1.266666667,8.51488444010417
"153",487,"RIKEN",118.02660868,0.54,8.51488444010417
"154",487,"IPB_Halle",118.02660868,0.733066667,8.51488444010417
"155",496,"MTBLS20",187.168462309,0.9,0.858057250976562
"156",525,"FEM_long",134.021523302,2.005,7.54327311197917
"157",525,"MTBLS87",134.021523302,13.3,7.54327311197917
"158",535,"RIKEN",101.047678473,0.18,0.914744262695313
"159",547,"RIKEN",168.042258744,1.16,7.74136637369792
"160",547,"FEM_orbitrap_urine",168.042258744,4.11,7.74136637369792
"161",564,"RIKEN",131.094628665,0.41,2.2386269124349
"162",586,"OBSF",131.069476547,0.72,1.1760390218099
"163",586,"OBSF",131.069476547,0.74,1.1760390218099
"164",588,"Cao_HILIC",113.058911861,9.87,0.8397314453125
"165",588,"OBSF",113.058911861,0.7,0.8397314453125
"166",588,"FEM_orbitrap_urine",113.058911861,1.05,0.8397314453125
"167",588,"UFZ_Phenomenex",113.058911861,2.2,0.8397314453125
"168",588,"RIKEN",113.058911861,0.19,0.8397314453125
"169",588,"FEM_orbitrap_plasma",113.058911861,1.06,0.8397314453125
"170",588,"LIFE_new",113.058911861,0.467266667,0.8397314453125
"171",588,"MTBLS20",113.058911861,0.9,0.8397314453125
"172",588,"LIFE_old",113.058911861,0.572416667,0.8397314453125
"173",588,"MTBLS87",113.058911861,6.9,0.8397314453125
"174",597,"OBSF",111.043261797,0.72,4.9174951171875
"175",597,"MTBLS38",111.043261797,1.621533715,4.9174951171875
"176",597,"MTBLS20",111.043261797,1.1,4.9174951171875
"177",597,"RIKEN",111.043261797,0.19,4.9174951171875
"178",597,"Cao_HILIC",111.043261797,10.41,4.9174951171875
"179",602,"FEM_long",89.047678473,0.69,0.539582316080729
"180",602,"FEM_long",89.047678473,1.3,0.539582316080729
"181",607,"FEM_long",210.037567296,1.3,8.47649658203125
"182",607,"MTBLS36",210.037567296,1.570407051,8.47649658203125
"183",617,"MTBLS87",105.042593095,13.1,0.863266398111979
"184",617,"MTBLS36",105.042593095,1.604889653,0.863266398111979
"185",617,"FEM_long",105.042593095,1.215,0.863266398111979
"186",617,"MTBLS36",105.042593095,1.474431443,0.863266398111979
"187",649,"MTBLS20",114.042927446,1.1,8.05086669921875
"188",649,"RIKEN",114.042927446,0.2,8.05086669921875
"189",659,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",255.096753929,2.693383333,7.90886393229167
"190",668,"MTBLS36",169.998024468,9.304014552,6.95932291666667
"191",670,"MTBLS36",90.031694058,3.016539333,4.12597045898437
"192",673,"LIFE_old",103.063328537,0.572416667,0.138762079874674
"193",673,"LIFE_new",103.063328537,0.469533333,0.138762079874674
"194",681,"LIFE_new",153.078978601,0.711891667,7.40807291666667
"195",700,"Cao_HILIC",61.052763851,12.89,0.242036717732747
"196",743,"LIFE_new",132.042258744,1.32225,10.0068147786458
"197",743,"LIFE_old",132.042258744,1.3669,10.0068147786458
"198",743,"FEM_orbitrap_plasma",132.042258744,2.2,10.0068147786458
"199",743,"FEM_long",132.042258744,10.24,10.0068147786458
"200",743,"IPB_Halle",132.042258744,1.142266667,10.0068147786458
"201",750,"RIKEN",75.032028409,0.16,0.490101114908854
"202",750,"FEM_long",75.032028409,1.22,0.490101114908854
"203",751,"RIKEN",90.031694058,0.17,7.97457682291667
"204",757,"FEM_long",76.016043994,2.3,5.52026896158854
"205",760,"FEM_long",74.00039393,1.3,5.79813842773437
"206",763,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",117.053826483,6.0461,2.83016642252604
"207",763,"Cao_HILIC",117.053826483,12.81,2.83016642252604
"208",763,"RIKEN",117.053826483,0.18,2.83016642252604
"209",764,"MTBLS38",151.049409807,2.954964417,5.61524617513021
"210",764,"RIKEN",151.049409807,0.32,5.61524617513021
"211",764,"MTBLS38",151.049409807,3.066922678,5.61524617513021
"212",764,"MTBLS20",151.049409807,1.1,5.61524617513021
"213",764,"Cao_HILIC",151.049409807,9.81,5.61524617513021
"214",764,"OBSF",151.049409807,0.93,5.61524617513021
"215",764,"OBSF",151.049409807,3.62,5.61524617513021
"216",764,"FEM_long",151.049409807,3.215,5.61524617513021
"217",764,"FEM_orbitrap_plasma",151.049409807,1.375,5.61524617513021
"218",774,"MTBLS20",111.079647303,0.8,0.927184651692708
"219",774,"FEM_long",111.079647303,1.1,0.927184651692708
"220",774,"MTBLS87",111.079647303,24.8,0.927184651692708
"221",774,"RIKEN",111.079647303,0.14,0.927184651692708
"222",778,"Cao_HILIC",135.035399227,11.06,1.61688201904297
"223",780,"RIKEN",168.042258744,1.1,7.20115559895833
"224",790,"MTBLS20",136.03851077,1.1,6.53010131835937
"225",790,"Cao_HILIC",136.03851077,7.88,6.53010131835937
"226",790,"OBSF",136.03851077,1.55,6.53010131835937
"227",790,"LIFE_new",136.03851077,0.705516667,6.53010131835937
"228",790,"MTBLS36",136.03851077,1.74647447,6.53010131835937
"229",790,"OBSF",136.03851077,1.26,6.53010131835937
"230",790,"MTBLS87",136.03851077,7.6,6.53010131835937
"231",790,"LIFE_old",136.03851077,0.882016667,6.53010131835937
"232",791,"FEM_short",131.094628665,4.44,1.15704264322917
"233",791,"FEM_long",131.094628665,4.615,1.15704264322917
"234",792,"MTBLS36",220.02490792,2.090958109,1.55714650472005
"235",795,"Cao_HILIC",68.037448138,10.36,0.298275833129883
"236",798,"FEM_long",117.057849229,28.1,13.8313053385417
"237",798,"MTBLS38",117.057849229,10.22933344,13.8313053385417
"238",802,"FEM_long",175.063328537,26.605,12.084501953125
"239",802,"LIFE_new",175.063328537,3.633883333,12.084501953125
"240",811,"RIKEN",130.02660868,1.09,7.466435546875
"241",827,"FEM_long",152.068473494,1.381666667,9.18392903645833
"242",849,"MTBLS36",129.078978601,2.791738489,1.42165883382161
"243",849,"LIFE_new",129.078978601,0.6204,1.42165883382161
"244",857,"FEM_long",131.094628665,4.98,1.46946482340495
"245",863,"FEM_long",205.059505487,29,9.35035807291667
"246",863,"RIKEN",205.059505487,1.57,9.35035807291667
"247",867,"FEM_long",104.010958616,2.11,4.56409057617187
"248",867,"MTBLS20",104.010958616,1.04,4.56409057617187
"249",876,"Cao_HILIC",149.051049291,10.33,4.11403401692708
"250",876,"MTBLS87",149.051049291,8.7,4.11403401692708
"251",876,"FEM_long",149.051049291,2.8,4.11403401692708
"252",892,"FEM_long",180.063388116,1.22,9.78019205729167
"253",892,"MTBLS87",180.063388116,14.4,9.78019205729167
"254",892,"Qtof-PFEM",180.063388116,8.4,9.78019205729167
"255",892,"LIFE_new",180.063388116,0.464883333,9.78019205729167
"256",892,"INRA_QTOF",180.063388116,0.86,9.78019205729167
"257",892,"LIFE_old",180.063388116,0.570716667,9.78019205729167
"258",903,"MTBLS20",218.105527702,5.8,9.44874430338542
"259",916,"RIKEN",244.226311538,0.14,0.86491200764974
"260",936,"MTBLS87",122.048012824,4.7,2.06186869303385
"261",936,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",122.048012824,1.673583333,2.06186869303385
"262",936,"FEM_long",122.048012824,3.79,2.06186869303385
"263",936,"OBSF",122.048012824,1.15,2.06186869303385
"264",936,"MTBLS20",122.048012824,1.1,2.06186869303385
"265",936,"OBSF",122.048012824,1.37,2.06186869303385
"266",936,"LIFE_old",122.048012824,0.969416667,2.06186869303385
"267",936,"LIFE_new",122.048012824,0.721666667,2.06186869303385
"268",936,"MTBLS38",122.048012824,3.332452112,2.06186869303385
"269",938,"Cao_HILIC",123.032028409,2.35,8.73917073567708
"270",938,"FEM_long",123.032028409,2.975,8.73917073567708
"271",938,"FEM_orbitrap_urine",123.032028409,1.45,8.73917073567708
"272",938,"OBSF",123.032028409,1.13,8.73917073567708
"273",938,"OBSF",123.032028409,1.27,8.73917073567708
"274",938,"MTBLS20",123.032028409,1.1,8.73917073567708
"275",938,"FEM_orbitrap_plasma",123.032028409,1.38,8.73917073567708
"276",938,"FEM_orbitrap_plasma",123.032028409,1.44,8.73917073567708
"277",942,"MTBLS20",162.115698458,1.1,0.57949940999349
"278",942,"FEM_long",162.115698458,4.64,0.57949940999349
"279",949,"RIKEN",121.089149357,1.11,10.299111328125
"280",967,"LIFE_new",156.017106626,0.588016667,6.72451375325521
"281",967,"LIFE_old",156.017106626,0.718816667,6.72451375325521
"282",971,"FEM_long",89.995308552,1.3,6.70236979166667
"283",975,"FEM_long",612.151961898,9.675,8.18763997395833
"284",978,"RIKEN",137.047678473,1.13,9.04014322916667
"285",978,"LIFE_old",137.047678473,1.502566667,9.04014322916667
"286",978,"LIFE_new",137.047678473,2.094316667,9.04014322916667
"287",978,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",137.047678473,1.673583333,9.04014322916667
"288",978,"MTBLS87",137.047678473,7.2,9.04014322916667
"289",978,"FEM_long",137.047678473,12.29,9.04014322916667
"290",978,"Cao_HILIC",137.047678473,2.26,9.04014322916667
"291",978,"IPB_Halle",137.047678473,1.945866667,9.04014322916667
"292",985,"FEM_long",256.240230268,54.42,17.1313736979167
"293",985,"FEM_lipids",256.240230268,9.9,17.1313736979167
"294",985,"FEM_orbitrap_plasma",256.240230268,14.9,17.1313736979167
"295",988,"MTBLS20",219.110672659,4.7,8.39387044270833
"296",988,"FEM_long",219.110672659,14.3,8.39387044270833
"297",988,"MTBLS87",219.110672659,6.1,8.39387044270833
"298",988,"MTBLS20",219.110672659,4.6,8.39387044270833
"299",997,"RIKEN",164.047344122,1.36,10.6536197916667
"300",999,"IPB_Halle",136.0524295,3.595966667,12.0081103515625
"301",999,"LIFE_old",136.0524295,1.192816667,12.0081103515625
"302",999,"LIFE_new",136.0524295,0.86075,12.0081103515625
"303",1001,"FEM_long",121.089149357,12.1,9.51778971354167
"304",1014,"RIKEN",184.073869485,0.17,10.1738419596354
"305",1015,"RIKEN",141.019094261,0.16,0.974697774251302
"306",1021,"MTBLS20",226.095356946,4.7,10.6218823242188
"307",1032,"FEM_short",74.036779436,3.95,7.0503857421875
"308",1045,"OBSF",88.100048394,0.6,1.12947845458984
"309",1045,"RIKEN",88.100048394,0.14,1.12947845458984
"310",1045,"FEM_long",88.100048394,1.1,1.12947845458984
"311",1050,"RIKEN",167.058243159,0.38,1.67623708089193
"312",1050,"FEM_long",167.058243159,3.775,1.67623708089193
"313",1051,"FEM_long",247.024573569,3.99,8.432783203125
"314",1051,"RIKEN",247.024573569,0.39,8.432783203125
"315",1051,"Cao_HILIC",247.024573569,10.3,8.432783203125
"316",1052,"FEM_long",168.089877638,1.42,2.69482279459635
"317",1053,"FEM_long",248.056208048,1.405,7.9935009765625
"318",1054,"RIKEN",169.073893223,0.53,6.84183268229167
"319",1054,"Cao_HILIC",169.073893223,9.21,6.84183268229167
"320",1054,"FEM_long",169.073893223,4.9,6.84183268229167
"321",1054,"OBSF",169.073893223,0.78,6.84183268229167
"322",1054,"OBSF",169.073893223,0.73,6.84183268229167
"323",1057,"FEM_orbitrap_urine",126.031694058,1.88,7.14750081380208
"324",1060,"FEM_long",88.016043994,1.79,6.430478515625
"325",1060,"MTBLS36",88.016043994,4.600831404,6.430478515625
"326",1060,"RIKEN",88.016043994,0.22,6.430478515625
"327",1066,"MTBLS87",167.021857653,12.7,9.7710888671875
"328",1081,"FEM_short",148.037173366,4.02,7.60268717447917
"329",1081,"MTBLS38",148.037173366,5.173385775,7.60268717447917
"330",1081,"MTBLS87",148.037173366,12.6,7.60268717447917
"331",1081,"FEM_long",148.037173366,5.185,7.60268717447917
"332",1088,"LIFE_old",89.047678473,0.573933333,0.468845520019531
"333",1088,"LIFE_new",89.047678473,0.4684,0.468845520019531
"334",1088,"RIKEN",89.047678473,0.16,0.468845520019531
"335",1102,"FEM_long",145.157897623,1.04,0.925956217447917
"336",1102,"RIKEN",145.157897623,0.14,0.925956217447917
"337",1102,"MTBLS20",145.157897623,0.8,0.925956217447917
"338",1103,"FEM_long",202.215746852,0.98,0.78053232828776
"339",1103,"MTBLS20",202.215746852,0.7,0.78053232828776
"340",1103,"MTBLS20",202.215746852,0.8,0.78053232828776
"341",1103,"RIKEN",202.215746852,0.14,0.78053232828776
"342",1110,"FEM_short",118.02660868,3.94,8.14904134114583
"343",1110,"FEM_long",118.02660868,4.975,8.14904134114583
"344",1110,"RIKEN",118.02660868,0.49,8.14904134114583
"345",1110,"MTBLS36",118.02660868,5.347006175,8.14904134114583
"346",1123,"OBSF",125.014663785,0.65,3.40780436197917
"347",1123,"OBSF",125.014663785,0.68,3.40780436197917
"348",1123,"LIFE_new",125.014663785,0.469533333,3.40780436197917
"349",1123,"RIKEN",125.014663785,0.16,3.40780436197917
"350",1123,"LIFE_old",125.014663785,0.556466667,3.40780436197917
"351",1123,"Cao_HILIC",125.014663785,12.64,3.40780436197917
"352",1123,"IPB_Halle",125.014663785,0.446016667,3.40780436197917
"353",1130,"RIKEN",265.112306876,0.19,9.44791178385417
"354",1135,"OBSF",126.042927446,2.38,8.42966715494792
"355",1135,"Cao_HILIC",126.042927446,3.51,8.42966715494792
"356",1135,"OBSF",126.042927446,2.97,8.42966715494792
"357",1136,"RIKEN",143.040484605,1.08,9.37656331380208
"358",1145,"MTBLS20",75.068413915,0.9,5.87034464518229
"359",1145,"RIKEN",75.068413915,0.18,5.87034464518229
"360",1145,"LIFE_new",75.068413915,0.467933333,5.87034464518229
"361",1148,"IPB_Halle",204.089877638,2.4,11.0032926432292
"362",1148,"MTBLS87",204.089877638,8.7,11.0032926432292
"363",1148,"FEM_long",204.089877638,16,11.0032926432292
"364",1148,"MTBLS36",204.089877638,8.865305311,11.0032926432292
"365",1150,"Cao_HILIC",160.100048394,9.86,12.5488753255208
"366",1150,"RIKEN",160.100048394,1.22,12.5488753255208
"367",1150,"MTBLS20",160.100048394,5.7,12.5488753255208
"368",1150,"LIFE_new",160.100048394,2.6512,12.5488753255208
"369",1150,"FEM_orbitrap_plasma",160.100048394,4.8,12.5488753255208
"370",1150,"LIFE_old",160.100048394,1.527833333,12.5488753255208
"371",1174,"RIKEN",112.027277382,0.31,8.24838704427083
"372",1174,"FEM_long",112.027277382,2.975,8.24838704427083
"373",1174,"OBSF",112.027277382,1.01,8.24838704427083
"374",1174,"MTBLS87",112.027277382,7.2,8.24838704427083
"375",1174,"FEM_short",112.027277382,2.337068966,8.24838704427083
"376",1174,"LIFE_old",112.027277382,0.75225,8.24838704427083
"377",1174,"MTBLS20",112.027277382,1.2,8.24838704427083
"378",1174,"IPB_Halle",112.027277382,0.637566667,8.24838704427083
"379",1174,"OBSF",112.027277382,0.87,8.24838704427083
"380",1174,"LIFE_new",112.027277382,0.627616667,8.24838704427083
"381",1175,"MTBLS20",168.028340014,1.1,8.89317220052083
"382",1175,"MTBLS87",168.028340014,10.7,8.89317220052083
"383",1175,"IPB_Halle",168.028340014,0.6432,8.89317220052083
"384",1175,"FEM_long",168.028340014,1.62,8.89317220052083
"385",1175,"LIFE_old",168.028340014,0.75225,8.89317220052083
"386",1175,"MTBLS20",168.028340014,1.4,8.89317220052083
"387",1175,"OBSF",168.028340014,0.88,8.89317220052083
"388",1175,"FEM_short",168.028340014,3.442586207,8.89317220052083
"389",1175,"LIFE_new",168.028340014,0.618316667,8.89317220052083
"390",1176,"Cao_HILIC",60.03236276,7.16,2.69382181803385
"391",1176,"MTBLS20",60.03236276,1,2.69382181803385
"392",1176,"FEM_long",60.03236276,1.3,2.69382181803385
"393",1176,"MTBLS20",60.03236276,0.9,2.69382181803385
"394",1183,"INRA_QTOF",152.047344122,8.37,11.2887727864583
"395",1183,"Qtof-PFEM",152.047344122,8.37,11.2887727864583
"396",1183,"LIFE_old",152.047344122,2.03495,11.2887727864583
"397",1183,"FEM_long",152.047344122,21.505,11.2887727864583
"398",1183,"MTBLS38",152.047344122,9.531687943,11.2887727864583
"399",1183,"LIFE_new",152.047344122,3.446825,11.2887727864583
"400",1188,"FEM_long",152.033425392,6.015,6.92365641276042
"401",1188,"OBSF",152.033425392,1.96,6.92365641276042
"402",1188,"Cao_HILIC",152.033425392,8.29,6.92365641276042
"403",1188,"MTBLS20",152.033425392,1.7,6.92365641276042
"404",1188,"FEM_short",152.033425392,3.966206897,6.92365641276042
"405",1188,"MTBLS20",152.033425392,1.1,6.92365641276042
"406",1188,"OBSF",152.033425392,1.56,6.92365641276042
"407",1198,"RIKEN",192.02700261,0.24,10.1288671875
"408",1198,"MTBLS36",192.02700261,2.048514764,10.1288671875
"409",1198,"MTBLS36",192.02700261,1.618308087,10.1288671875
"410",1198,"MTBLS36",192.02700261,2.534308176,10.1288671875
"411",1256,"LIFE_new",166.099379691,3.8101,14.0510221354167
"412",1355,"Eawag_XBridgeC18",196.076726133,5.2,9.65311767578125
"413",1486,"Eawag_XBridgeC18",219.969399472,9.1,14.9745345052083
"414",1614,"Waters ACQUITY UPLC with Synapt G1 Q-TOF",179.094628665,4.15555,10.6734505208333
"415",1662,"FEM_long",162.05282343,7.04,5.85316528320312
"416",1662,"RIKEN",162.05282343,0.68,5.85316528320312
"417",1738,"FEM_orbitrap_urine",182.057908808,6.19,9.17191813151042
"418",1738,"Qtof-PFEM",182.057908808,8.67,9.17191813151042
"419",1738,"RIKEN",182.057908808,1.33,9.17191813151042
"420",1738,"INRA_QTOF",182.057908808,8.67,9.17191813151042
"421",1826,"RIKEN",191.058243159,1.27,9.34482421875
"422",1826,"LIFE_old",191.058243159,1.61105,9.34482421875
"423",1826,"LIFE_new",191.058243159,2.920883333,9.34482421875
"424",1826,"MTBLS20",191.058243159,5.7,9.34482421875
"425",1833,"Cao_HILIC",190.11061308,9.56,10.5169661458333
"426",1864,"LIFE_new",248.116092388,3.399616667,10.2005712890625
"427",1864,"LIFE_old",248.116092388,1.812533333,10.2005712890625
"428",2078,"Eawag_XBridgeC18",269.118256596,11.7,13.2204288736979
"429",2130,"UFZ_Phenomenex",151.136099549,15.7,10.0135400390625
"430",2130,"RIKEN",151.136099549,1.28,10.0135400390625
"431",2153,"FEM_long",180.06472552,17.8,10.9101920572917
"432",2153,"Cao_HILIC",180.06472552,2.28,10.9101920572917
