"","Pubchem","mmass","model_prediction"
"109",6288,119.058243159,0.667144063313802
"110",6267,132.053492132,0.854653625488281
"111",18950,180.063388116,9.488818359375
"112",6306,131.094628665,1.15704264322917
"113",17106,164.068473494,10.0382584635417
"114",8582,348.047099924,9.32112874348958
"116",6274,155.069476547,1.12204803466797
"117",6047,197.068807845,1.43478281656901
"118",5962,146.105527702,0.477179921468099
"120",5951,105.042593095,0.863266398111979
"121",8583,507.979760744,4.52025675455729
"123",5960,133.037507717,2.33516581217448
"125",1198,192.02700261,10.1288671875
"127",6021,268.080769514,9.436337890625
"128",802,175.063328537,12.084501953125
"129",1,203.115758037,10.335703125
"130",487,118.02660868,8.51488444010417
"131",997,164.047344122,10.6536197916667
"134",51,146.021523302,8.79486897786458
"135",999,136.0524295,12.0081103515625
"136",988,219.110672659,8.39387044270833
"140",6262,132.089877638,0.485422617594401
"143",5886,744.083277073,2.57202473958333
"145",985,256.240230268,17.1313736979167
"148",970,132.005873238,7.1640771484375
"149",1015,141.019094261,0.974697774251302
"150",71,160.037173366,9.87714274088542
"151",967,156.017106626,6.72451375325521
"152",449,148.073558872,7.12981119791667
"153",996,94.041864814,9.6066650390625
"154",14180,334.056601978,8.989033203125
"156",1066,167.021857653,9.7710888671875
"157",6013,288.20893014,16.096845703125
"158",1130,265.112306876,9.44791178385417
"159",1032,74.036779436,7.0503857421875
"161",1054,169.073893223,6.84183268229167
"162",1099,79.956814556,6.41853393554687
"164",1060,88.016043994,6.430478515625
"166",1021,226.095356946,10.6218823242188
"168",5780,182.07903818,10.7837906901042
"169",5819,776.686681525,10.0897281901042
"171",1123,125.014663785,3.40780436197917
"174",1110,118.02660868,8.14904134114583
"176",1084,111.928885246,10.5667553710938
"177",5988,342.116211546,9.12531494140625
"178",5202,176.094963016,9.86953369140625
"179",1135,126.042927446,8.42966715494792
"180",1005,167.982374404,9.80240071614583
"181",5920,650.790038137,9.91293701171875
"182",7405,129.042593095,2.99689046223958
"185",1088,89.047678473,0.468845520019531
"187",5789,242.090271568,8.90247721354167
"190",7339,389.95181466,7.99847981770833
"191",5779,150.05282343,10.1866569010417
"192",6133,483.968527356,4.07333780924479
"194",6030,324.035866536,1.76264790852865
"195",1175,168.028340014,8.89317220052083
"198",1188,152.033425392,6.92365641276042
"200",1176,60.03236276,2.69382181803385
"201",6031,404.002196946,2.09865763346354
"202",6029,244.069536126,5.0264208984375
"204",1174,112.027277382,8.24838704427083
"206",18068,566.055020376,5.30586873372396
"207",1150,160.100048394,12.5488753255208
"208",1167,607.081569477,5.73306925455729
"210",5610,137.084063979,9.09571940104167
"223",11222,362.20932407,13.0396166992187
"255",1662,162.05282343,5.85316528320312
"257",441,104.047344122,8.25062337239583
"269",3857,169.014008883,0.752982686360677
"272",6238,330.219494826,14.3518343098958
"273",91,166.062994186,8.21006429036458
"294",19,154.026608673,8.76798014322917
"295",93,160.037173366,7.0717236328125
"322",1081,148.037173366,7.60268717447917
"334",12122,152.047344122,8.4383251953125
"340",196,146.057908808,9.51234456380208
"350",204,158.043990078,6.50603474934896
"351",271,39.962591155,3.3855165608724
"352",6736,131.073499293,12.2745166015625
"356",144,220.08479226,9.29671061197917
"358",6569,72.057514878,6.64087036132813
"364",379,144.115029756,15.0511149088542
"366",8468,168.042258738,9.80729817708333
"370",5880,290.224580204,16.4896761067708
"371",47,130.062994186,10.5459586588542
"380",135,138.031694053,8.67650227864583
"388",469,161.068807845,1.49984242757161
"389",2969,172.146329884,16.0581819661458
"394",6322,174.111675712,0.996694030761719
"395",10133,392.292659768,14.5430826822917
"404",648,158.03275669,6.9401611328125
"410",8892,116.083729628,11.4429248046875
"412",5957,506.995745159,2.49689676920573
"421",888,23.985041898,3.2347910563151
"423",7302,86.036779436,7.26421061197917
"436",588,113.058911861,0.8397314453125
"441",827,152.068473494,9.18392903645833
"446",5862,121.019749163,2.42297627766927
"447",10010,268.05514839,6.10814412434896
"451",24766,463.063189697,9.1346826171875
"456",923,22.989769675,2.73515889485677
"461",769,60.992568898,5.42584025065104
"471",836,197.068807845,1.43478281656901
"476",6919,112.016043994,7.19102783203125
"482",12736,230.151809192,15.0210139973958
"484",10690,196.058302738,9.50166829427083
"488",597,111.043261797,4.9174951171875
"495",3893,200.177630012,16.9923567708333
"498",5961,146.069142196,0.88717051188151
"516",743,132.042258744,10.0068147786458
"521",8094,130.099379692,13.3053889973958
"524",11970,152.047344122,8.04332356770833
"525",9085,188.127325776,1.13015808105469
"527",10459,286.214409448,15.4473844401042
"530",807,253.80893684,5.81107828776042
"538",6106,131.094628665,1.46946482340495
"541",867,104.010958616,4.56409057617187
"545",70,130.062994186,10.7830769856771
"546",6137,149.051049291,4.11403401692708
"549",457,137.07148792,9.20502766927083
"553",10729,179.044324429,6.77190022786458
"556",979,180.042258744,8.32142008463542
"559",10413,104.047344122,8.93158854166667
"563",464,179.058243159,9.90580078125
"564",3845,189.042593095,9.38511881510417
"567",10430,102.068079564,11.0793180338542
"568",12647,119.058243159,0.59029047648112
"572",5810,131.058243159,2.11329386393229
"579",89,224.079706882,7.52993977864583
"585",798,117.057849229,13.8313053385417
"587",11333,342.116211546,8.67444498697917
"588",778,135.035399227,1.61688201904297
"590",525,134.021523302,7.54327311197917
"597",22253,150.05282343,7.62043131510417
"601",9378,182.057908808,7.15408365885417
"607",1826,191.058243159,9.34482421875
"608",107,150.068079564,9.90395670572917
"609",6251,182.07903818,10.7837906901042
"611",15047,244.069536126,9.62566813151042
"614",12591,298.28718046,14.520185546875
"617",3848,166.062994186,9.93525716145833
"622",2266,188.104859,13.3383487955729
"624",4644,152.033425392,5.39957153320313
"630",5192,202.120509064,13.8905712890625
"639",24139,221.089937217,11.1493953450521
"640",499,129.042593095,2.99689046223958
"641",11005,228.20893014,18.2828971354167
"642",724,185.99293909,8.2274169921875
"650",529,155.982374404,7.3544580078125
"652",1237,183.089543287,2.06889282226562
"653",1031,60.057514878,4.9450146484375
"655",328,168.042258744,5.00260335286458
"658",13849,242.224580204,17.095888671875
"659",5281,284.271530396,13.7648421223958
"667",10253,195.053157781,9.1380224609375
"669",7124,173.047678473,11.8027083333333
"671",4455,253.081103865,6.90168294270833
"672",8158,158.13067982,15.195009765625
"681",385,160.073558872,9.37834147135417
"685",3776,60.057514878,5.30077229817708
"691",774,111.079647303,0.927184651692708
"693",13185,258.18310932,15.7540559895833
"694",9958,124.0524295,7.78275797526042
"696",5570,137.047678473,11.353837890625
"701",5699,205.037507717,8.71191162109375
"702",6287,117.078978601,1.7263535563151
"709",7991,102.068079564,10.9928002929688
"710",10457,174.089208936,11.6098527018229
"712",187,146.118103761,10.9614957682292
"714",11361,165.065059871,1.1306113688151
"715",3614,125.095297367,0.672372334798177
"719",5893,664.116946663,3.48034138997396
"721",9750,175.095691297,1.26322743733724
"722",12599,331.068169717,3.92031941731771
"723",1146,59.073499293,0.0621167055765788
"727",12530,214.193280076,17.2460807291667
"736",1145,75.068413915,5.87034464518229
"737",1049,79.042199165,6.46267130533854
"739",6305,204.089877638,11.0032926432292
"744",17473,580.034284934,8.56786946614583
"752",8215,340.334130652,14.2554915364583
"754",8180,186.161979948,16.7419986979167
"761",289,110.036779436,6.59255818684896
"766",863,205.059505487,9.35035807291667
"773",7427,342.116211546,7.1488720703125
"775",472,207.053157781,10.1264339192708
"779",663,207.075155551,8.4640625
"781",177,44.02621475,6.71589558919271
"783",437,179.058243159,9.74106363932292
"790",10238,427.019898895,3.10573771158854
"799",128,156.053492132,6.09099934895833
"801",131,299.077003069,9.39931966145833
"803",949,121.089149357,10.299111328125
"807",105,183.977289026,8.26052734375
"811",12594,368.165744696,15.5367252604167
"816",961,17.002739654,3.27840799967448
"825",751,90.031694058,7.97457682291667
"826",88,853.151987801,3.53363932291667
"837",1000,137.084063979,1.83655253092448
"839",5255,304.090665498,9.97389322916667
"842",380,893.219673435,5.38436157226563
"846",118,87.068413915,2.12391052246094
"849",1194,127.063328537,8.78381917317708
"851",1179,836.27523138,12.58857421875
"853",265,837.157073179,2.0644423421224
"859",278,140.982708755,7.06246419270833
"861",7478,152.047344122,10.3167333984375
"863",75,73.052763851,0.870986022949219
"866",729,169.998024468,8.21682454427083
"870",438,181.073893223,1.67564931233724
"871",647,246.005825762,9.65534912109375
"874",227,137.047678473,9.55864908854167
"877",412,148.100048394,0.694491577148437
"881",796,131.021857653,4.55439331054687
"883",10214,506.986229305,2.81126749674479
"884",788,854.285796066,12.9399064127604
"885",185,189.063722467,9.03200358072917
"887",454,128.120115134,18.87171875
"891",137,131.058243159,1.66354532877604
"894",53,865.151987801,3.57028605143229
"896",134,146.118103761,10.8227457682292
"898",18396,605.077152801,7.32443196614583
"902",880,72.021129372,5.39476765950521
"904",403,109.052763851,2.11538330078125
"906",296,102.031694058,8.54807698567708
"908",10663,853.115602295,2.09060689290365
"911",192,559.071673493,4.47828938802083
"916",957,130.135765198,13.7839225260417
"919",916,244.226311538,0.86491200764974
"923",800,159.068413915,11.6980240885417
"932",910,236.079706882,9.04406575520833
"933",8977,443.024329371,9.656279296875
"934",13945,307.056936329,1.48666737874349
"938",203,176.054554764,5.06665486653646
"939",21706,836.048264812,10.2182755533854
"940",782,172.048406754,10.3924731445312
"942",156,136.074896276,1.15037933349609
"944",323,146.036779433,12.9550032552083
"945",13946,487.699091756,9.267568359375
"947",9700,322.056601978,10.1597436523437
"951",980,139.026943031,10.2731380208333
"953",903,218.105527702,9.44874430338542
"962",904,135.068413915,9.33397298177083
"964",249,102.091889011,10.1677351888021
"967",1103,202.215746852,0.78053232828776
"968",1102,145.157897623,0.925956217447917
"969",1112,102.031694058,9.01294921875
"971",321,660.315914404,11.128173828125
"973",207,145.073893223,2.1658945719401
"980",683,265.9592695,7.1497705078125
"983",6830,522.990659781,8.53487386067708
"986",496,187.168462309,0.858057250976562
"1000",1196,113.047678473,6.64725219726563
"1010",24316,345.047434275,8.9559619140625
"1013",129,100.088815006,14.17775390625
"1014",1055,249.040223633,9.9010205078125
"1026",547,168.042258744,7.74136637369792
"1028",15667,1005.344873947,10.9826106770833
"1031",6022,427.029414749,3.06901529947917
"1034",133,130.123189139,13.683193359375
"1036",1195,246.005825762,9.309306640625
"1040",964,104.010958616,7.620302734375
"1043",991,291.033029765,13.5680403645833
"1047",281,27.99491462,5.68965698242187
"1048",783,2.015650064,0.102560062408447
"1049",14003,586.962075569,7.84222005208333
"1051",1044,120.043596148,5.00493082682292
"1053",98,119.988114684,10.4441748046875
"1054",1059,129.042593095,6.64139322916667
"1056",947,28.00614801,5.65582478841146
"1057",1132,425.044967696,9.22746826171875
"1062",977,31.989829244,3.03850931803385
"1066",8053,117.078978601,11.7493758138021
"1069",913,151.099714043,1.31897644042969
"1071",896,232.121177766,10.4393473307292
"1074",978,137.047678473,9.04014322916667
"1077",6804,363.057998961,9.48990397135417
"1078",460,124.052429498,8.13806233723958
"1080",5958,260.029718526,7.69409016927083
"1083",936,122.048012824,2.06186869303385
"1087",170,314.112738344,9.03969563802083
"1088",13804,488.107330718,1.60125274658203
"1089",1045,88.100048394,1.12947845458984
"1090",987,358.096358302,9.455048828125
"1096",6816,767.115208365,2.13554728190104
"1099",712,30.010564686,3.17781046549479
"1101",1061,94.95342,7.09493489583333
"1103",1052,168.089877638,2.69482279459635
"1104",199,130.121846468,1.02039794921875
"1110",167,134.059246212,7.68379720052083
"1115",1117,95.951729178,6.33666870117187
"1117",6112,206.043521072,10.2488509114583
"1119",9322,57.975144695,9.80506998697917
"1125",655,170.01665142,11.8158284505208
"1126",950,137.084063979,11.3958333333333
"1131",668,169.998024468,6.95932291666667
"1134",86,153.042593095,8.47953531901042
"1140",356,114.140850576,18.3399479166667
"1141",928,665.124771695,8.74115641276042
"1142",938,123.032028409,8.73917073567708
"1144",10805,184.073558872,9.33079752604167
"1145",1051,247.024573569,8.432783203125
"1148",186,139.987459782,7.93895182291667
"1155",220,261.058850585,10.1123055013021
"1156",241,78.046950192,11.1131534830729
"1160",444,239.10769191,11.0919474283854
"1161",587,211.035806957,4.29610758463542
"1162",511,505.011298106,9.08604166666667
"1169",10111,73.063997239,1.01658864339193
"1170",795,68.037448138,0.298275833129883
"1171",1076,249.085720237,9.78066080729167
"1172",563,120.02450019,10.6739322916667
"1174",15993,491.000830537,7.75339599609375
"1176",530,472.18188054,10.1210099283854
"1177",713,45.021463723,0.890215454101563
"1185",1050,167.058243159,1.67623708089193
"1186",6132,403.018181361,1.41863759358724
"1187",5753,346.214409448,15.0263818359375
"1190",984,240.245315646,20.4862467447917
"1191",48,145.037507717,4.82537109375
"1192",473,148.019414812,10.3495532226562
"1194",1053,248.056208048,7.9935009765625
"1196",143,473.165896125,10.1883422851562
"1199",1014,184.073869485,10.1738419596354
"1205",11915,150.031694058,11.6981217447917
"1208",21236,131.094628665,1.97896606445313
"1209",180,58.041864814,6.32991902669271
"1211",106,185.008923505,1.07177124023438
"1213",5994,314.224580204,18.1853580729167
"1214",2154,440.15566579,10.1611189778646
"1215",3520,59.048347175,0.0450315189361572
"1217",10349,132.042258744,7.95051106770833
"1219",2519,194.080375584,9.80903076171875
"1220",3696,280.193948778,9.30661783854167
"1221",4946,259.157228921,11.7748510742188
"1222",2520,454.283157714,11.9587044270833
"1227",72,154.026608673,9.5556005859375
"1229",2879,108.057514878,8.81557291666667
"1231",4687,180.06472552,9.35074869791667
"1240",243,122.036779433,10.0714127604167
"1242",6590,88.0524295,8.3206005859375
"1244",887,32.02621475,0.395309982299805
"1246",3121,144.115029756,14.1597477213542
"1247",6989,150.104465071,13.4504524739583
"1248",2244,180.042258744,10.4508097330729
"1249",1030,76.0524295,3.97359537760417
"1250",670,90.031694058,4.12597045898437
"1253",6228,73.052763851,1.59277272542318
"1254",2153,180.06472552,10.9101920572917
"1255",12035,163.030313849,7.37220052083333
"1257",4055,172.0524295,12.1868204752604
"1258",14985,430.381080844,27.3287565104167
"1260",338,138.031694053,9.5389111328125
"1265",564,131.094628665,2.2386269124349
"1269",6119,103.063328537,1.7456483968099
"1271",4594,345.114712179,12.029052734375
"1272",2088,249.016724799,8.35610432942708
"1277",4091,129.101445377,0.455129750569661
"1278",2812,344.108026261,13.9193505859375
"1280",2249,266.16304258,1.38049530029297
"1281",3672,206.13067982,17.2417919921875
"1282",5991,296.177630012,17.2223486328125
"1283",3100,255.162314299,11.2991267903646
"1284",3639,296.964474846,8.11118326822917
"1288",4171,267.183443671,8.25720296223958
"1289",3440,330.007719869,11.8615665690104
"1295",10631,344.23514489,13.6043872070312
"1296",5546,253.107593387,10.6815120442708
"1297",6834,318.073161265,11.0330672200521
"1299",7028,165.115364107,1.36479573567708
"1300",2725,274.123676325,10.6868424479167
"1313",280,43.989829244,4.36436401367188
"1337",11197,368.36543078,15.5745426432292
"1338",1832,218.141913208,6.14228149414062
"1344",4462,250.120509064,14.6364827473958
"1349",7408,121.089149357,8.27722249348958
"1366",12025,85.052763851,3.05461669921875
"1371",342,108.057514878,8.60240966796875
"1376",335,108.057514878,8.490859375
"1388",599,162.016437924,7.3857373046875
"1396",5975,27.010899037,6.25392293294271
"1397",10742,198.052823422,10.1752368164062
"1403",811,130.02660868,7.466435546875
"1406",8617,203.094628665,11.8981656901042
"1410",4671,299.282429433,13.8931282552083
"1414",1017,166.02660868,9.4164990234375
"1417",962,18.010564686,1.37510681152344
"1432",215,73.052763851,0.661029256184896
"1438",1004,97.976895096,4.59446573893229
"1444",679,78.013935504,8.07756103515625
"1462",8314,102.068079564,9.35075520833333
"1468",6041,167.094628665,1.19285725911458
"1481",10394,166.062994186,8.177890625
"1494",10467,312.302830524,15.7201334635417
"1495",326,148.088815006,15.3095882161458
"1502",13279,241.106255983,1.63498118082682
"1515",1018,123.032028409,7.581650390625
"1534",659,255.096753929,7.90886393229167
"1551",1068,62.019020882,8.39997395833333
"1553",154,313.067501015,3.21352681477865
"1554",313,35.976677739,3.54138509114583
"1562",273,102.115698458,1.50268442789714
"1565",971,89.995308552,6.70236979166667
"1567",110,151.977943928,7.32469319661458
"1581",8221,270.292265838,15.6356087239583
"1593",10494,456.360345406,20.7927376302083
"1606",12533,268.276615774,15.9972526041667
"1611",6738,152.047344122,9.11306803385417
"1614",22880,147.053157781,2.5146103922526
"1624",7489,166.02660868,9.27860514322917
"1629",785,110.036779436,7.70674397786458
"1634",934,57.935347922,2.07210632324219
"1635",7420,138.031694053,8.20225504557292
"1644",259,78.918337647,3.12584106445312
"1650",2526,172.013674532,6.30657307942708
"1681",18845,194.042652674,11.1220060221354
"1686",297,16.031300128,0.133504778544108
"1690",9904,274.193280076,16.439052734375
"1701",9064,290.07903818,10.5031103515625
"1703",946,45.992903249,4.64778035481771
"1708",5781,142.001456562,8.37998209635417
"1711",5429,180.06472552,8.81771484375
"1713",3917,183.089543287,1.12755137125651
"1721",943,61.987817871,6.99740234375
"1731",6912,152.068473494,9.18392903645833
"1740",7909,100.088815006,9.1376513671875
"1742",10635,290.224580204,17.9956396484375
"1747",6058,77.029919919,3.18429626464844
"1753",6115,93.057849229,8.27540852864583
"1766",8742,174.05282343,5.85820597330729
"1771",10680,222.068079564,16.900439453125
"1779",244,108.057514878,9.03605224609375
"1780",784,34.005479308,3.66245971679687
"1789",262,90.068079564,5.63040690104167
"1798",9679,126.054160834,4.74581013997396
"1802",10542,504.169034976,1.38537780761719
"1807",878,48.003370818,6.40472005208333
"1814",179,88.0524295,6.59940633138021
"1824",402,33.987720754,4.42872517903646
"1828",4788,274.084123558,13.6000325520833
"1830",7967,98.073164942,9.75923909505208
"1844",975,612.151961898,8.18763997395833
"1845",787,33.021463723,0.447496134440104
"1846",23327,147.053157781,0.649522705078125
"1847",756,60.021129372,7.44541666666667
"1851",16666,156.151415264,19.0440152994792
"1852",138,117.078978601,1.98098754882812
"1854",9260,80.037448138,5.30883585611979
"1857",4650,108.021129372,9.59013834635417
"1858",527,58.041864814,8.11929850260417
"1873",650,86.036779436,7.44841959635417
"1874",2353,336.123583069,13.5753540039063
"1875",8988,115.063328537,0.923417765299479
"1881",13472,284.177630012,15.4608430989583
"1883",2682,242.26096571,18.8783414713542
"1884",479,278.130027892,8.29417236328125
"1889",10685,161.084063979,12.3625162760417
"1898",500,145.085126611,2.63433573404948
"1901",9305,432.867179999,2.54583292643229
"1905",890,659.861370576,10.3459684244792
"1913",767,62.00039393,5.93972127278646
"1916",261,72.057514878,8.8158349609375
"1919",277,61.016378345,1.03222869873047
"1938",9727,151.099714043,1.24840138753255
"1939",10819,152.120115135,15.1620524088542
"1944",16441,150.104465071,12.7802327473958
"1949",1009,720.012159345,3.25404439290365
"1951",8051,114.10446507,12.8394873046875
"1952",18189,145.073893223,8.201904296875
"1954",675,146.08439833,8.6060205078125
"1958",598,141.975835438,9.88067220052083
"1968",10634,290.224580204,14.9448372395833
"1970",672,326.122634328,7.60304036458333
"1974",1092,161.898502302,5.62169067382812
"1975",333,356.073314674,7.665234375
"1987",7866,125.99867937,7.90698404947917
"1991",4970,353.126322723,11.6616796875
"1992",484,83.048347175,0.186420923868815
"2016",15103,196.995500429,0.73079345703125
"2019",972,190.011352546,11.3632934570313
"2040",21100,197.105193351,1.52129852294922
"2049",1864,248.116092388,10.2005712890625
"2056",1833,190.11061308,10.5169661458333
"2057",18986,205.073893223,10.6032014973958
"2058",1647,70.053098202,3.97433471679688
"2059",546,139.987459782,0.98676747639974
"2064",15104,335.912750538,5.19066609700521
"2091",558,173.080041233,1.25950276692708
"2093",12473,111.032028409,7.88688557942708
"2094",4678,205.131408101,7.36583902994792
"2112",10393,138.068079564,7.58477376302083
"2115",6579,71.037113787,5.21275349934896
"2122",263,74.073164942,9.97985677083333
"2125",2181,162.115698458,2.15995768229167
"2127",504,84.03236276,5.58312540690104
"2130",6088,174.115698458,10.3755354817708
"2134",8113,105.078978601,0.640163167317708
"2136",2331,121.052763851,9.44874430338542
"2137",2758,154.1357652,12.8024845377604
"2138",11388,160.100048394,0.805148773193359
"2143",16724,150.10446507,9.11545166015625
"2145",1256,166.099379691,14.0510221354167
"2190",8449,161.963920164,13.75328125
"2203",7172,167.094628665,1.2409467569987
"2341",6213,94.008850126,7.10197021484375
"2346",2337,165.078978601,11.7136376953125
"2349",3955,476.223056017,14.1375325520833
"2350",3957,382.144805697,15.0346858723958
"2354",3883,369.075882012,14.9077213541667
"2359",2662,381.075882012,16.335556640625
"2361",5656,277.204179113,8.74819986979167
"2362",4679,383.075133083,12.1082633463542
"2363",2162,408.145199627,12.96712890625
"2364",5073,410.211804333,10.4060237630208
"2365",5002,383.166747749,10.0167952473958
"2367",5732,307.168462309,9.55059814453125
"2368",5029,359.130362243,12.4663102213542
"2370",3348,501.287908741,15.87380859375
"2372",2678,388.155370383,12.3415185546875
"2375",4595,293.152812245,8.30482014973958
"2377",5358,295.135447621,3.49540608723958
"2378",2771,324.163791509,10.9268391927083
"2379",5212,474.204924168,9.6583984375
"2450",11146,890.830241252,16.8684798177083
"2553",3473,294.18310932,15.7763736979167
"2570",7463,134.109550451,17.9570865885417
"2571",7461,136.125200515,17.5982356770833
"2572",370,170.021523293,10.6890576171875
"2574",3314,164.083729628,10.787890625
"2578",9416,400.297745146,22.7908056640625
"2584",618,262.04536859,10.80580078125
"2588",5971,99.014269855,12.2692789713542
"2596",12232,93.991091572,8.0580078125
"2609",6089,188.131348522,6.86224283854167
"2610",6184,100.088815006,14.687099609375
"2615",6560,74.073164942,8.4471142578125
"2629",15020,304.240230268,17.309482421875
"2633",24828,165.065059871,6.12114949544271
"2646",892,180.063388116,9.78019205729167
"2650",10964,72.021129372,6.74471150716146
"2651",240,106.041864814,11.9233463541667
"2677",998,120.057514878,10.7277620442708
"2758",513,206.042652674,10.1479296875
"2760",11552,86.073164942,10.8265673828125
"2790",6654,136.125200515,15.3202815755208
"2800",2966,175.110947431,9.18873291015625
"2803",14403,312.063388116,10.6723649088542
"2806",16500,589.082238179,4.62583536783854
"2918",11302,290.224580204,17.9956396484375
"2935",12222,54.010564686,6.68716552734375
"2936",10110,70.005479308,8.47998860677083
"2953",725,145.110278729,11.2437874348958
"2955",22,132.042258744,8.49309895833333
"3008",1122,104.010958616,6.00000284830729
"3015",8299,74.036779436,6.43784342447917
"6720",7680,135.068413915,9.27975748697917
"6746",221,276.106984264,10.7788956705729
"6749",533,81.932171892,4.73019368489583
"6750",868,88.016043994,5.92234497070312
"6758",1090,127.901265694,7.78299397786458
"6816",10850,470.360739332,19.1848274739583
"6817",10851,638.5485401,17.3548421223958
"7191",1673,149.070145249,9.69180989583333
"7202",2024,329.052519653,2.58052693684896
"7206",544,122.906340283,8.0315185546875
"7209",8175,156.151415262,19.3522981770833
"7210",8174,158.167065326,14.769248046875
"7212",8193,186.198365454,16.8881103515625
"7216",11811,224.079706882,7.52993977864583
"7218",5942,131.142247559,0.41153450012207
"7265",171,179.080709935,6.26136840820312
"7291",126,122.036779436,9.42379557291667
"7293",1169,679.102698849,8.716865234375
"7296",125,124.0524295,3.88853352864583
"7297",7322,217.988508614,9.04336588541667
"7302",157,194.042652674,9.0223974609375
"7303",50,194.042652674,9.0519580078125
"7304",11163,132.053492132,1.23118448893229
"7313",6180,191.061613977,9.82146484375
"7314",339,125.024179639,1.37245635986328
"7318",8897,133.037507717,1.26982625325521
"7690",11421,108.021129372,9.65643961588542
"7693",4,75.068413915,0.578451538085938
"7694",7005,144.057514878,15.8015364583333
"7698",25,289.102233237,13.2569612630208
"7740",234,141.924730001,7.3560400390625
"7745",12039,226.047738052,10.8067041015625
"7753",654,154.039495352,7.6734326171875
"7754",421,208.059171136,9.68555501302083
"7779",792,220.02490792,1.55714650472005
"7787",3830,215.080709935,6.77878784179688
"7789",17,169.037507717,6.08281209309896
"7792",832,213.003838127,1.76054972330729
"7800",8948,139.945465443,6.66617553710937
"7813",1001,121.089149357,9.51778971354167
"7815",1012,577.082238179,2.83417907714844
"7819",983,257.909555916,7.05305582682292
"7820",1028,226.047738052,8.11042643229167
"7824",632,171.053157781,10.4471468098958
"7826",1147,77.042495978,2.33780741373698
"7837",1183,152.047344122,11.2887727864583
"7851",8663,144.057514878,13.7753580729167
"8001",18519,287.115758037,9.00274739583333
"8093",14490,132.07864425,9.62209635416667
"8136",8103,102.10446507,12.2236376953125
"8137",9321,32.037448138,0.342339197794596
"8170",9395,275.055873697,11.63875
"8171",6276,88.088815006,10.1798518880208
"8234",13401,139.026943031,6.97076009114583
"8237",7102,169.089149357,12.4964444986979
"8260",6341,45.057849229,-0.017980375289917
"8271",20393,278.151809192,20.6245052083333
"8292",8207,200.214015518,17.9083121744792
"8505",24726,109.969005542,13.2826383463542
"8507",9060,204.089877638,11.0032926432292
"8522",1024,330.012415178,9.09425618489583
"8548",1057,126.031694058,7.14750081380208
"8549",359,126.031694058,9.081083984375
"8571",24642,239.943281,6.96572835286458
"8572",7247,120.093900384,15.8801171875
"8574",332,150.068079564,11.7244108072917
"8576",8871,95.037113787,8.07437418619792
"8578",19310,125.963162262,7.38193196614583
"8595",6782,278.151809192,20.0981461588542
"8725",942,162.115698458,0.57949940999349
"8732",4771,149.120449485,8.81234049479167
"8735",21704,267.096753929,1.651962890625
"8736",2369,307.214743799,8.66875162760417
"8739",12560,733.461241235,11.811875
"8741",5314,290.220557458,9.37417154947917
"8743",4993,248.082874143,12.020478515625
